"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,56.85284,56.85284,2529847.94,5658788.96,"W 5812",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL738",10,0,41.74241,41.74241,2529847.94,5658788.96,"W 5812",60.93,"Jahr: 2017 (Gesamtfoerderung 6B: 32.0 Millionen m3)"
"WELLL738",11,0,35.46251,35.46251,2529847.94,5658788.96,"W 5812",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELLL740",9,0,59.76302,59.76302,2530172.81,5658373.2,"W 5815",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL740",10,0,45.92311,45.92311,2530172.81,5658373.2,"W 5815",60.93,"Jahr: 2017 (Gesamtfoerderung 6B: 32.0 Millionen m3)"
"WELLL740",11,0,40.0359,40.0359,2530172.81,5658373.2,"W 5815",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELLL860",9,0,57.45226,57.45226,2530041.18,5658643.89,"W 5963",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL860",10,0,43.18121,43.18121,2530041.18,5658643.89,"W 5963",60.93,"Jahr: 2017 (Gesamtfoerderung 6B: 32.0 Millionen m3)"
"WELLL860",11,0,37.53872,37.53872,2530041.18,5658643.89,"W 5963",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELLL944",9,0,59.99229,59.99229,2529988.65,5658509.59,"W 6200",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL944",10,0,44.83097,44.83097,2529988.65,5658509.59,"W 6200",60.93,"Jahr: 2017 (Gesamtfoerderung 6B: 32.0 Millionen m3)"
"WELLL944",11,0,38.48164,38.48164,2529988.65,5658509.59,"W 6200",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELLL954",9,0,55.91138,55.91138,2530069.25,5658783.1,"WA5980",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL954",10,0,42.35049,42.35049,2530069.25,5658783.1,"WA5980",60.93,"Jahr: 2017 (Gesamtfoerderung 6B: 32.0 Millionen m3)"
"WELLL954",11,0,36.76446,36.76446,2530069.25,5658783.1,"WA5980",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1016",9,0,62.52856,62.52856,2529756.44,5658357.51,"WA5813",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1016",10,0,48.53301,48.53301,2529756.44,5658357.51,"WA5813",60.93,"Jahr: 2017 (Gesamtfoerderung 6B: 32.0 Millionen m3)"
"WELL1016",11,0.07,38.15531,38.24154,2529756.44,5658357.51,"WA5813",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1018",9,0,59.27305,59.27305,2530084.04,5658515.11,"WA5814",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1018",10,0.32,39.93982,40.86291,2530084.04,5658515.11,"WA5814",60.93,"Jahr: 2017 (Gesamtfoerderung 6B: 32.0 Millionen m3)"
