"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,62.09345,62.09345,2529847.94,5658788.96,"W 5812",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL738",10,0,57.3165,57.3165,2529847.94,5658788.96,"W 5812",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELLL738",11,0,47.05297,47.05297,2529847.94,5658788.96,"W 5812",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELLL740",9,0,63.75215,63.75215,2530172.81,5658373.2,"W 5815",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL740",10,0,59.9772,59.9772,2530172.81,5658373.2,"W 5815",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELLL740",11,0,51.01867,51.01867,2530172.81,5658373.2,"W 5815",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELLL860",9,0,61.60645,61.60645,2530041.18,5658643.89,"W 5963",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL860",10,0,58.2738,58.2738,2530041.18,5658643.89,"W 5963",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELLL860",11,0,49.25404,49.25404,2530041.18,5658643.89,"W 5963",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELLL944",9,0,64.28821,64.28821,2529988.65,5658509.59,"W 6200",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL944",10,0,59.50938,59.50938,2529988.65,5658509.59,"W 6200",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELLL944",11,0,49.14649,49.14649,2529988.65,5658509.59,"W 6200",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELLL954",9,0,60.39196,60.39196,2530069.25,5658783.1,"WA5980",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL954",10,0,57.53513,57.53513,2530069.25,5658783.1,"WA5980",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELLL954",11,0,48.94666,48.94666,2530069.25,5658783.1,"WA5980",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1016",9,0,67.9565,67.9565,2529756.44,5658357.51,"WA5813",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1016",10,0,61.51127,61.51127,2529756.44,5658357.51,"WA5813",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1016",11,0.06,49.9757,50.52527,2529756.44,5658357.51,"WA5813",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1018",9,0,63.25735,63.25735,2530084.04,5658515.11,"WA5814",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1018",10,0.15,57.973,58.77576,2530084.04,5658515.11,"WA5814",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1018",11,0.3,45.14054,47.99322,2530084.04,5658515.11,"WA5814",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1022",9,0.2,65.28575,66.21639,2530053.05,5658116.42,"WA5817",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1022",10,0.4,57.0825,59.51909,2530053.05,5658116.42,"WA5817",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1022",11,0.36,44.44573,47.74938,2530053.05,5658116.42,"WA5817",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1108",9,0,63.7872,63.78721,2529856.43,5658664.39,"WA6199",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1108",10,0.1,57.52286,58.04388,2529856.43,5658664.39,"WA6199",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1108",11,0.2,43.75072,45.77183,2529856.43,5658664.39,"WA6199",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1144",9,0,66.06987,66.06987,2529582.45,5658758.27,"WA6246",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1144",10,0.1,56.72237,57.2407,2529582.45,5658758.27,"WA6246",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1144",11,0.2,42.71699,44.75146,2529582.45,5658758.27,"WA6246",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1146",9,0,65.42928,65.42928,2529817.69,5658565.94,"WA6247",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1146",10,0.25,57.04236,58.37662,2529817.69,5658565.94,"WA6247",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1146",11,0.43,40.73824,43.7547,2529817.69,5658565.94,"WA6247",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1148",9,0,70.23149,70.23149,2529560.26,5658379.33,"WA6248",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1148",10,0,62.18037,62.18037,2529560.26,5658379.33,"WA6248",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1148",11,0.08,50.33651,50.97673,2529560.26,5658379.33,"WA6248",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1150",9,0,72.58371,72.58371,2529388.19,5658371.25,"WA6249",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1150",10,0,62.70233,62.70233,2529388.19,5658371.25,"WA6249",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1150",11,0.08,50.71114,51.33679,2529388.19,5658371.25,"WA6249",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1152",9,0,67.65072,67.65072,2529891.5,5658197.02,"WA6251",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1152",10,0,61.8259,61.8259,2529891.5,5658197.02,"WA6251",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1152",11,0.08,50.42178,51.11879,2529891.5,5658197.02,"WA6251",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1154",9,0,78.67851,78.67851,2529329.83,5657831.95,"WA6253",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1154",10,0,70.83013,70.83013,2529329.83,5657831.95,"WA6253",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1154",11,0.08,62.68861,63.12907,2529329.83,5657831.95,"WA6253",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
"WELL1160",9,0,70.79105,70.79105,2529922.03,5657843.68,"WA6256",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1160",10,0,64.78259,64.78259,2529922.03,5657843.68,"WA6256",35.48,"Jahr: 2017 (Gesamtfoerderung 6B: 18.6 Millionen m3)"
"WELL1160",11,0.08,53.96497,54.64947,2529922.03,5657843.68,"WA6256",54.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.6 Millionen m3)"
