"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,56.87078,56.87078,2529847.94,5658788.96,"W 5812",34.24,"Jahr: 2016 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL738",10,0,41.80995,41.80995,2529847.94,5658788.96,"W 5812",60.52,"Jahr: 2017 (Gesamtfoerderung 6B: 31.8 Millionen m3)"
"WELLL738",11,0,35.47215,35.47215,2529847.94,5658788.96,"W 5812",53.51,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL740",9,0,59.75359,59.75359,2530172.81,5658373.2,"W 5815",34.24,"Jahr: 2016 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL740",10,0,45.93442,45.93442,2530172.81,5658373.2,"W 5815",60.52,"Jahr: 2017 (Gesamtfoerderung 6B: 31.8 Millionen m3)"
"WELLL740",11,0,40.03738,40.03738,2530172.81,5658373.2,"W 5815",53.51,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL860",9,0,57.44853,57.44853,2530041.18,5658643.89,"W 5963",34.24,"Jahr: 2016 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL860",10,0,43.2125,43.2125,2530041.18,5658643.89,"W 5963",60.52,"Jahr: 2017 (Gesamtfoerderung 6B: 31.8 Millionen m3)"
"WELLL860",11,0,37.54364,37.54364,2530041.18,5658643.89,"W 5963",53.51,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL944",9,0,59.98944,59.98944,2529988.65,5658509.59,"W 6200",34.24,"Jahr: 2016 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL944",10,0,44.8547,44.8547,2529988.65,5658509.59,"W 6200",60.52,"Jahr: 2017 (Gesamtfoerderung 6B: 31.8 Millionen m3)"
