"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,56.84959,56.84959,2529847.94,5658788.96,"W 5812",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL738",10,0,41.74001,41.74001,2529847.94,5658788.96,"W 5812",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELLL738",11,0,35.46206,35.46206,2529847.94,5658788.96,"W 5812",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELLL740",9,0,59.75979,59.75979,2530172.81,5658373.2,"W 5815",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL740",10,0,45.9207,45.9207,2530172.81,5658373.2,"W 5815",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELLL740",11,0,40.03526,40.03526,2530172.81,5658373.2,"W 5815",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELLL860",9,0,57.44866,57.44866,2530041.18,5658643.89,"W 5963",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL860",10,0,43.17892,43.17892,2530041.18,5658643.89,"W 5963",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELLL860",11,0,37.53797,37.53797,2530041.18,5658643.89,"W 5963",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELLL944",9,0,59.98953,59.98953,2529988.65,5658509.59,"W 6200",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL944",10,0,44.82921,44.82921,2529988.65,5658509.59,"W 6200",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELLL944",11,0,38.48129,38.48129,2529988.65,5658509.59,"W 6200",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELLL954",9,0,55.90739,55.90739,2530069.25,5658783.1,"WA5980",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELLL954",10,0,42.34803,42.34803,2530069.25,5658783.1,"WA5980",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELLL954",11,0,36.76361,36.76361,2530069.25,5658783.1,"WA5980",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1014",9,0,62.52672,62.52672,2529756.44,5658357.51,"WA5813",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1014",10,0,48.53163,48.53163,2529756.44,5658357.51,"WA5813",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1014",11,0.07,38.15523,38.24145,2529756.44,5658357.51,"WA5813",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1016",9,0,59.26991,59.26991,2530084.04,5658515.11,"WA5814",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1016",10,0.32,39.9388,40.8616,2530084.04,5658515.11,"WA5814",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1016",11,0.07,37.07506,37.07506,2530084.04,5658515.11,"WA5814",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1020",9,0.6,55.0073,58.78952,2530053.05,5658116.42,"WA5817",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1020",10,0.4,43.87375,43.99759,2530053.05,5658116.42,"WA5817",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1020",11,0.05,40.32374,40.32374,2530053.05,5658116.42,"WA5817",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1106",9,0,58.8901,58.8901,2529856.43,5658664.39,"WA6199",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1106",10,0.24,38.01641,39.48256,2529856.43,5658664.39,"WA6199",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1106",11,0.05,35.10152,35.10152,2529856.43,5658664.39,"WA6199",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1142",9,0,58.03171,58.03171,2529582.45,5658758.27,"WA6246",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1142",10,0.23,37.01031,38.1555,2529582.45,5658758.27,"WA6246",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1142",11,0.05,34.25817,34.25817,2529582.45,5658758.27,"WA6246",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1144",9,0,60.32324,60.32324,2529817.69,5658565.94,"WA6247",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1144",10,0.42,39.64715,40.38236,2529817.69,5658565.94,"WA6247",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1144",11,0.05,36.08726,36.08726,2529817.69,5658565.94,"WA6247",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1146",9,0,63.3797,63.3797,2529560.26,5658379.33,"WA6248",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1146",10,0,48.95251,48.95251,2529560.26,5658379.33,"WA6248",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1146",11,0.08,38.24177,38.31497,2529560.26,5658379.33,"WA6248",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1148",9,0,63.82464,63.82464,2529388.19,5658371.25,"WA6249",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1148",10,0,48.48143,48.48143,2529388.19,5658371.25,"WA6249",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1148",11,0.09,38.35175,38.43601,2529388.19,5658371.25,"WA6249",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1150",9,0,62.47711,62.47711,2529891.5,5658197.02,"WA6251",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1150",10,0,48.89841,48.89841,2529891.5,5658197.02,"WA6251",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1150",11,0.07,39.55367,39.57722,2529891.5,5658197.02,"WA6251",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1152",9,0,72.91627,72.91627,2529329.83,5657831.95,"WA6253",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1152",10,0,62.83866,62.83866,2529329.83,5657831.95,"WA6253",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1152",11,0.22,45.92229,48.77454,2529329.83,5657831.95,"WA6253",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1158",9,0,65.90427,65.90427,2529922.03,5657843.68,"WA6256",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1158",10,0,53.09699,53.09699,2529922.03,5657843.68,"WA6256",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1158",11,0.09,43.18562,43.29566,2529922.03,5657843.68,"WA6256",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1198",9,0.82,48.86339,53.89315,2529323.2,5658729.44,"WA6291",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1198",10,0.48,38.93889,38.95944,2529323.2,5658729.44,"WA6291",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1198",11,0.08,35.26536,35.26536,2529323.2,5658729.44,"WA6291",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1200",9,0,60.19191,60.19191,2529560.42,5658619.19,"WA6292",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1200",10,0.31,38.8362,39.65238,2529560.42,5658619.19,"WA6292",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1200",11,0.05,35.6109,35.6109,2529560.42,5658619.19,"WA6292",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1202",9,0,59.32672,59.32672,2529751.28,5658659.18,"WA6293",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1202",10,0,42.75734,42.75734,2529751.28,5658659.18,"WA6293",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1202",11,0.05,34.95507,34.95507,2529751.28,5658659.18,"WA6293",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1204",9,0,61.67312,61.67312,2529481.34,5658487.75,"WA6294",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
"WELL1204",10,0.35,40.36565,41.36941,2529481.34,5658487.75,"WA6294",60.67,"Jahr: 2017 (Gesamtfoerderung 6B: 31.9 Millionen m3)"
"WELL1204",11,0.06,36.66131,36.66131,2529481.34,5658487.75,"WA6294",53.36,"Jahr: 2018 (Gesamtfoerderung 6B: 28.0 Millionen m3)"
"WELL1206",9,0,64.01696,64.01696,2529262.94,5658401.32,"WA6295",34.71,"Jahr: 2016 (Gesamtfoerderung 6B: 18.2 Millionen m3)"
