time,head
1388.29,46.72
1388.5,46.72
1388.51,46.77
1389.35,46.72
1389.36,46.77
1446,46.30
1506.67,46.28
1538.62,46.10
1566.5,41.80
1591.68,38.06
1626.67,40.81
1654.76,41.35
1689.65,37.29
1723.87,34.83
1748.62,34.43
1783.43,34.23
1813.74,38.94
1821.58,37.57
1843.76,39.20
1872.52,36.75
1899.64,35.14
1932.75,34.83
1960.71,34.51
1995.74,31.98
2017.65,29.56
2055.41,28.20
2085.82,26.85
2118.75,26.73
2148.59,26.64
2188.68,25.35
2212.59,24.69
2247.8,23.60
2269.88,22.89
2301.84,20.78
2333.58,19.24
2362.71,18.75
2392.48,18.25
2420.64,17.85
2449.76,17.29
2478.47,16.98
2511.66,16.60
2538.52,16.64
2543.74,16.51
2576.71,16.40
2605.72,16.13
2632.75,15.73
2665.49,14.99
2695.61,14.39
2723.55,13.74
2749.7,13.04
2786.76,12.97
2811.72,12.86
2847.64,12.63
2877.7,12.36
2906.49,11.73
2935.82,11.04
2968.59,11.03
2992.86,10.98
3031.64,10.38
3060.48,9.76
3081.38,9.98
3120.41,10.21
