time,head
28,56.18
55,56.11
73,56.21
106,45.69
140,45.58
169,45.61
172,45.75
176,46.15
176,47
190,47.43
235,44.27
264,42.7
326,44.8
349,44.02
377,45.74
412,45.02
443,45.52
475,46.64
502,46.08
538,46.2
562,46.43
595,46.6
629,46.95
657,46.71
692,46.72
722,46.32
755,46.62
776,46.32
817,46.35
837,46.1
867,45.7
895,45.57
929,45.48
960,45.2
1000,44.9
1019,44.69
1056,44.7
1084,44.55
1120,42.97
1146,43.1
1168,43.72
1203,42.8
1231,43.77
1265,43.47
1300,43.3
1331,43
1357,42.6
1385,42.85
1401,42.87
1441,42.32
1469,41.1
1497,40.85
1539,39.26
1553,39.14
1594,39.45
1622,38.32
1651,38.05
1678,38.41
1708,38.89
1736,38.77
1777,39.9
1805,40.33
1833,40.33
1861,39.66
1889,39.62
1918,39.45
1960,38.98
1976,39
1978,39
1978,39.35
1987,39.22
2015,38.71
2042,38.33
2085,37.6
2103,37.02
2141,37.3
2201,37.01
2227,36.36
2260,36.26
2264,35.68
2295,35.78
2323,35.27
2351,34.78
2379,34.23
2406,34.04
2436,33.94
2468,33.41
2497,33.24
2540,32.82
2561,32.82
2604,32.96
2617,32.84
2651,32.77
2678,32.55
2708,31.42
2750,31.44
2770,29.47
2813,28.62
2841,28.55
2869,27.98
2897,26.29
2925,27.01
2954,27.11
2963,26.28
2987,26.55
3020,26.44
3042,26.01
3076,25.13
3113,24.75
3141,24.49
3169,24.3
3198,23.65
3240,23.1
3261,22.73
3301,22.57
3324,22.39
3359,22.08
3387,22.27
3412,22.02
3471,22.18
3512,22.25
3540,21.66
3570,22.08
