time,head
0,107
37,107
49,107
62,106
77,106
90,106
125,105
155,105
179,104
214,104
241,104
270,103
306,104
335,103
364,104
395,104
424,103
451,103
482,103
521,102
526,103
546,102
579,102
609,102
634,102
665,102
700,102
731,101
760,101
798,100
815,100
847,100
880,99
890,98
907,97
942,96
977,98
1003,98
1032,98
1066,97
1094,97
1128,96
1152,95
1186,90
1216,87
1240,85
1246,85
1281,84
1305,83
1338,82
1367,81
1403,81
1431,81
1465,81
1492,81
1524,81
1552,80
1571,76
1577,78
1612,77
1640,75
1675,73
1709,72
1734,70
1768,69
1769,69
1788,76
1789,76
1799,75
1829,78
1858,73
1885,69
1918,69
1946,69
1981,65
2003,63
2018,55
2023,55
2024,55
2024,55
2041,59
2071,56
2104,59
2134,60
2174,56
2198,52
2233,51
2255,49
2287,46
2299,47
2319,46
2348,47
2378,44
2406,40
2435,39
2464,38
2497,37
2529,35
2544,32
2562,33
2591,32
2618,31
2651,29
2681,28
2709,27
2731,26
2735,25
2772,24
2797,25
2833,26
2863,25
2892,24
2921,25
2954,26
2978,24
3017,23
3036,23
3046,23
3067,22
3106,22
3134,21
3162,21
3196,21
3225,21
3257,20
