time,head
28,111.09
55,111.19
91,111.15
115,111.18
140,111.14
185,111.19
212,111.15
230,110.16
262,108.95
297,108.92
326,108.94
328,106.3
334,105.69
334,105.71
347,105.8
391,105.68
421,105.55
454,105.45
483,105.45
505,105.3
533,105.23
568,105.06
599,105.1
631,104.92
659,104.44
695,103.74
719,103.49
751,103.22
786,103.04
814,103.07
849,102.95
879,102.81
912,102.61
933,102.27
974,102.18
994,101.77
1024,101.44
1052,101.15
1085,101.01
1117,100.8
1157,100.52
1176,100.47
1213,100.45
1241,100.15
1277,99.12
1303,99.8
1325,99.4
1360,98.4
1388,99.42
1422,99.06
1456,98.96
1488,98.98
1513,98.6
1541,98.8
1558,98.8
1597,97.42
1626,97.33
1653,97.11
1695,92.41
1709,92.08
1751,92.52
1779,90.59
1808,90.52
1835,89.62
1864,89.02
1892,89.12
1933,90.37
1961,91.09
1989,88.37
2017,86.82
2045,86.43
2074,86.22
2116,85.84
2133,85.35
2135,84.05
2135,84.14
2143,84.15
2172,83.75
2199,83.23
2241,83.97
2259,82.5
2297,82.27
2357,81.47
2383,81.27
2417,80.93
2421,81.1
2451,80.61
2479,80.28
2507,80.15
2535,80.12
2563,79.05
2592,80.03
2624,79.81
2653,79.83
2696,80.09
2717,80.11
2760,79.9
2773,79.6
2808,79.15
2834,79.19
2865,78.62
2907,77.45
2927,77.08
2969,76
2997,76.29
3025,75.91
3053,74.68
3081,74.27
3110,73.96
3120,73.38
3144,73.1
3176,71.65
3199,71.22
3233,70.68
3270,70.27
3298,69.37
3326,69.24
3354,67.82
3396,67.49
3417,67.14
3458,67
3480,66.84
3515,66.93
