time,head
0,80
33.00,79.52
42.31,77.69
60.00,77.42
94.76,76.18
129.68,77.72
155.62,77.91
184.75,77.69
218.71,77.67
246.67,77.64
280.78,75.98
304.81,74.97
338.75,70.67
368.69,67.00
392.30,64.79
398.81,65.55
433.70,64.35
457.75,63.06
490.64,62.22
519.72,61.56
555.76,60.97
583.73,60.96
617.66,60.94
644.67,60.92
676.62,60.91
704.51,59.75
723.29,55.79
729.68,58.22
764.68,56.90
792.76,55.65
827.66,53.42
861.88,51.86
886.63,50.26
921.00,49.00
921.44,49.00
941.00,56.39
941.43,56.39
951.75,55.02
981.77,57.72
1010.52,53.11
1037.64,49.13
1070.75,48.97
1098.72,48.72
1133.75,45.46
1155.66,42.75
1170.28,35.59
1175.42,35.29
1176.88,35.58
1176.89,35.58
1193.42,39.02
1223.82,36.40
1256.76,38.72
1286.60,40.59
1326.69,36.35
1350.59,31.77
1385.81,31.02
1407.89,29.13
1439.85,25.76
1451.44,26.99
1471.61,26.27
1500.73,27.46
1530.49,23.93
1558.65,19.81
1587.77,19.06
1616.48,18.26
1649.71,16.86
1681.75,15.57
1696.50,12.15
1714.72,13.67
1743.73,12.16
1770.76,10.96
1803.50,9.24
1833.62,8.17
1861.56,7.06
1883.32,5.89
1887.71,5.67
1924.77,3.86
1949.73,5.26
1985.65,6.68
2015.72,5.60
2044.50,4.56
2073.83,5.05
2106.60,5.82
2130.87,4.45
2169.66,3.22
2188.32,2.99
2198.51,2.91
2219.40,2.52
2258.42,1.72
2286.40,0.96
2314.48,1.00
2348.45,1.07
2377.49,0.88
2409.50,0.62
2440.47,0.60
2468.54,0.57
