time,head
0,100.80
36.80416667,100.68
49.28611111,100.70
61.96944444,100.85
89.99652778,100.88
124.7645833,100.59
155.1520833,100.32
178.7180556,100.27
213.7270833,100.15
240.8958333,99.80
269.9923611,99.59
305.98125,99.70
335.0423611,99.52
364.0131944,99.28
394.9729167,99.11
424.0111111,99.08
450.9076389,99.03
481.7236111,98.43
520.7263889,98.08
545.9326389,97.48
578.74375,97.09
609.2861111,95.69
634.2861111,95.31
665.0923611,95.05
700.0861111,94.74
730.93125,94.49
760.0479167,94.22
798.2861111,94.68
815.2861111,94.88
847.2861111,92.27
880.2861111,91.00
907.2861111,90.70
942.0395833,90.53
976.9631944,89.84
1002.89375,89.57
1032.022222,89.16
1065.963194,88.79
1093.946528,88.71
1128.052083,88.66
1152.081944,88.33
1186.027778,87.93
1215.966667,87.54
1246.092361,87.39
1280.974306,86.74
1305.029167,86.36
1337.91875,86.16
1366.997917,85.71
1403.035417,85.26
1431.010417,77.03
1464.930556,72.16
1491.949306,72.14
1523.899306,72.06
1551.783333,69.73
1576.959028,67.17
1611.954167,69.58
1640.039583,71.18
1674.936806,66.43
1709.147917,61.84
1733.900694,64.39
1768.7125,66.21
1786.805556,64.90
1799.01875,66.03
1829.044444,65.83
1857.798611,61.06
1884.917361,58.33
1918.028472,59.11
1945.990278,59.59
1981.025,58.02
2002.934028,56.24
2040.695139,55.91
2071.097222,55.68
2104.029861,54.83
2133.865972,54.96
2173.961111,54.26
2197.871528,53.53
2233.0875,53.48
2255.163194,53.38
2287.120833,52.74
2318.853472,52.18
2347.993056,51.76
2377.758333,51.08
2405.925,51.33
2435.047222,51.58
2463.754167,51.78
2496.940972,51.99
2529.018056,51.71
2544.797222,50.85
2561.993056,51.38
2591,51.42
2618.035417,51.46
2650.770139,51.47
2680.891667,51.49
2708.834722,51.27
2734.98125,51.04
2772.039583,51.02
2796.998611,51.01
2832.920833,51.02
2862.984722,50.98
2891.772222,50.93
2921.101389,50.87
2953.874306,50.76
2978.142361,50.65
3016.929167,50.27
3045.879167,49.85
3066.734028,50.12
3105.78125,50.38
3133.732639,49.93
3161.83125,49.53
3195.789583,49.77
3224.8375,49.95
3256.861111,49.64
3287.815972,49.24
3315.908333,49.23
3346.811111,49.19
3378.840278,49.40
3410.8375,49.62
3438.723611,49.57
3465.010417,49.49
3497.861111,49.38
3532.825694,49.28
3562.802778,49.33
3591.8625,49.35
3616.844444,49.33
3655.863194,49.27
