time,head
0,40.02
37,39.98
49,39.80
62,39.84
90,39.79
125,38.86
155,38.53
179,38.51
214,38.49
241,38.35
270,38.29
306,38.15
335,38.08
364,37.82
395,37.59
424,37.64
451,37.68
482,37.49
521,37.26
546,37.24
579,37.23
609,37.10
634,36.98
665,36.71
700,36.38
731,34.95
760,34.47
798,33.92
815,33.63
847,31.42
880,27.89
907,27.28
942,26.79
977,25.21
1003,23.35
1032,25.07
1066,24.89
1094,25.17
1128,25.47
1152,24.87
1186,24.56
1216,23.28
1246,22.19
1281,22.05
1305,21.97
1338,21.78
1367,35.74
1403,33.99
1431,31.69
1465,31.04
1492,19.78
1524,19.54
1552,19.91
1577,20.16
1612,21.68
1640,23.19
1675,20.88
1709,19.03
1734,20.58
1769,22.19
1787,23.55
1799,24.02
1829,25.18
1858,21.58
1885,19.41
1918,18.78
1946,18.38
1974,21.65
1975,23.65
1975,23.82
1981,22.96
2003,23.81
2041,23.48
2071,23.19
2104,22.64
2134,22.39
2174,21.33
2198,20.43
2233,19.07
2255,18.64
2287,18.29
2319,17.93
2348,16.77
2378,15.86
2406,15.48
2435,15.07
2464,14.79
2497,14.53
2529,14.29
2545,13.31
2562,13.98
2591,13.79
2618,13.60
2651,17.63
2681,20.03
2709,14.39
2735,14.17
2772,12.26
2797,10.60
2833,9.17
2863,7.78
2892,8.80
2921,10.12
2954,10.07
2978,10.01
3017,9.78
3046,9.49
3067,9.58
3106,9.70
3134,10.77
3162,12.57
3196,10.13
3225,7.97
3257,7.71
