time,head
2018,77.48
2049,80.60
2074,78.58
2112,78.25
2140,76.75
2199,73.76
2231,73.93
2264,70.85
2266,70.58
2294,70.12
2322,69.14
2350,69.70
2378,68.87
2407,68.64
2439,68.89
2468,67.47
2511,70.28
2532,70.20
2575,67.41
2588,67.64
2623,67.09
2649,66.73
2680,66.89
2722,67.77
2742,67.39
2784,66.88
2812,65.37
2840,65.22
2868,64.01
2896,63.91
2925,68.54
2959,66.42
2991,68.51
3014,67.37
3048,64.53
3084,61.80
3113,60.37
3141,60.28
3169,59.71
3211,58.17
3232,58.32
3272,57.02
3295,55.71
3330,55.77
3358,56.29
3384,54.58
3414,54.94
3443,55.02
3484,54.75
3512,54.16
3541,54.61
3564,54.39
3603,54.51
3631,54.32
3659,53.58
