time,head
0,10.2
20,10.4
37,10.3
62,10.1
90,10.1
125,10.1
155,10.2
179,9.9
214,9.8
241,9.7
270,9.7
306,9.8
335,9.6
364,9.6
395,9.4
424,9.8
451,10
482,9.4
521,9.6
546,9.2
579,8.9
609,9.2
634,9.6
665,9.4
700,9.6
731,9.4
760,9.2
798,8.8
815,8.6
847,9.2
880,9
907,8.8
942,8.6
977,8.8
1003,8.8
1032,8.8
1066,8.7
1094,8.8
1128,8.9
1152,8.8
1186,8.6
1216,8.6
1246,8.5
1281,8.5
1305,8.4
1338,8.2
1367,8.4
1403,8.4
1431,8.3
1465,8.2
1492,8.4
1524,8.6
1552,8.4
1577,8.3
1612,8.3
1640,8.2
1675,8.2
1709,8.1
1734,8.1
1769,8.1
1799,8.3
1808,8.1
1829,8.3
1858,8.1
1885,7.9
1918,8.2
1946,8.4
1981,8.3
2003,8.2
2041,8.2
2071,8.1
2104,8.1
2134,8
2174,8
2198,8.2
2233,8.3
2255,8.3
2287,8.2
2319,7.9
2348,7.8
2378,7.8
2406,7.9
2435,8.1
2464,8.2
2497,7.9
2529,7.9
2549,7.3
2562,7.8
2591,7.9
2618,7.9
2651,8
2681,7.8
2709,7.6
2735,7.6
2772,7.6
2797,7.6
2833,7.7
2863,7.4
2892,7
2921,7.5
2954,7.8
2978,7.6
3017,7.4
3046,7.2
3067,6.8
3106,6.7
3134,6.7
3162,6.6
3196,6.5
3225,6.6
3257,6.6
