time,head
1389,103.20
1446,101.15
1507,99.17
1539,98.61
1567,98.88
1592,96.96
1627,96.03
1655,95.11
1690,93.98
1724,91.88
1749,90.33
1783,89.51
1814,87.83
1822,86.50
1844,86.58
1873,85.54
1900,84.21
1933,82.93
1961,80.61
1996,79.14
2018,77.76
2055,76.27
2086,75.67
2119,74.36
2149,73.69
2189,72.88
2213,72.11
2248,71.53
2270,71.14
2302,70.64
2334,70.06
2363,69.81
2392,69.58
2421,69.38
2450,69.14
2478,68.73
2512,68.47
2539,68.40
2544,68.28
2577,68.09
2606,67.88
2633,67.70
2665,67.42
2696,67.26
2724,67.16
2750,67.00
2787,66.79
2812,66.55
2848,66.49
2878,66.41
2906,66.35
2936,66.27
2969,66.16
2993,66.01
3032,65.47
3060,65.06
3081,65.31
3120,65.57
