time,head
0,62.84
20.29,62.9
36.8,62.66
61.97,62.65
90,62.63
124.76,62.5
155.15,62.38
178.72,62.32
213.73,62.27
240.9,62.24
269.99,62.21
305.98,62.07
335.04,61.97
364.01,62.09
394.97,62.2
424.01,61.87
450.91,61.79
481.72,61.85
520.73,61.53
545.93,61.52
578.74,61.49
609.29,61.35
634.29,61.41
665.09,61.23
700.09,61.16
730.93,60.99
760.05,60.84
798.29,60.76
815.29,60.69
847.29,60.68
880.29,60.59
907.29,60.4
942.04,60.29
976.96,60.14
1002.89,59.97
1032.02,59.89
1065.96,59.83
1093.95,59.75
1128.05,59.67
1152.08,59.49
1186.03,59.28
1215.97,59.11
1246.09,59.03
1280.97,58.89
1305.03,58.63
1337.92,58.48
1367,58.4
1403.04,58.34
1431.01,58.17
1464.93,58.01
1491.95,57.93
1523.9,57.87
1551.78,57.64
1576.96,57.5
1611.95,57.46
1640.04,57.33
1674.94,57.18
1709.15,56.98
1733.9,56.85
1768.71,56.81
1799.02,56.71
1807.85,56.75
1829.04375,56.67
1857.797917,56.63
1884.916667,56.56
1918.028472,56.43
1945.990278,56.37
1981.025,56.28
2002.933333,56.19
2040.695139,56.18
2071.097222,56.17
2104.029861,56.01
2133.865972,55.82
2173.961111,55.73
2197.871528,55.82
2233.086806,55.64
2255.163194,55.61
2287.120833,55.41
2318.852083,55.19
2347.992361,54.96
2377.758333,54.95
2405.925,54.93
2435.047222,54.93
2463.754167,54.95
2496.940972,54.87
2529.017361,54.76
2548.783333,54.7
2561.992361,54.68
2590.999306,54.65
2618.035417,54.59
2650.770139,54.56
2680.891667,54.53
2708.834722,54.49
2734.98125,54.36
2772.039583,54.28
2796.998611,54.19
2832.920833,54.09
2862.984722,54.03
2891.772222,53.97
2921.101389,53.94
2953.874306,53.9
2978.142361,53.79
3016.928472,53.67
3045.941667,53.63
3066.863889,53.59
3105.864583,53.56
3133.847917,53.47
3161.920139,53.33
3195.886806,53.24
3224.915972,53.16
3256.947222,53.05
