time,head
15,31.35
52,31.13
64,32.14
77,31.48
105,31.42
140,30.9
170,30.71
194,30.64
229,30.58
256,30.34
285,30.23
321,30.58
350,29.67
379,29.66
410,29.63
439,29.59
466,29.56
497,29.42
536,29.33
561,29.3
594,29.29
624,29.23
649,29.2
680,29.11
715,29.05
746,28.6
775,28.16
813,27.77
830,27.45
862,27.34
906,27.22
922,26.98
957,26.68
992,25.97
1018,25.46
1047,25.34
1081,24.82
1109,24.78
1143,24.59
1167,24.11
1201,23.88
1231,24.19
1261,24.21
1296,24.09
1320,24
1353,23.72
1382,23.38
1418,23.39
1446,23.07
1480,22.86
1507,22.6
1539,22.38
1567,22.22
1592,22.08
1627,21.66
1649,21.09
1655,21.37
1690,20.92
1724,20.51
1749,23.45
1784,21.78
1802,20.07
1814,19.63
1844,19.93
1873,20.08
1900,19.72
1933,19.4
1961,19.17
1996,18.92
2018,18.79
2056,18.66
2086,18.58
2119,18.49
2149,18.42
2189,18.38
2455,17.68
2455,17.78
2455,17.81
2507,17.81
2529,18.08
3046,29.5
3063,16.99
3063,16.99
3081,16.75
3104,16.91
3140,17.09
3167,16.59
3208,16.71
3230,16.71
3299,16.69
3343,17.2
3343,17.2
3343,17.3
