time,head
2016,39.6
2018,39.52
2018,39.52
2048,39.5
2072,39.16
2110,39.27
2138,38.64
2197,36.82
2230,36.29
2262,34.04
2264,34.56
2292,33.88
2320,32.85
2348,32.54
2376,31.65
2405,31.43
2437,33.08
2466,31.03
2509,31.59
2530,31.9
2573,31.9
2586,30.86
2621,27.81
2647,29.65
2678,29.17
2720,28.79
2740,28.48
2782,27.75
2810,26.05
2838,25.36
2866,24.63
2894,24.21
2923,24.25
2957,24.18
2989,22.73
3012,23.42
3046,22.41
3083,21.78
3111,20.19
3139,19.63
3167,18.96
3209,18.8
3230,17.78
3271,17.74
3293,17.72
3328,17.1
3356,17.64
3382,16.57
3412,16.36
3441,16.67
3482,16.5
3510,15.9
3539,15.55
3562,16.35
