"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,62.07747,62.07747,2529847.94,5658788.96,"W 5812",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL738",10,0,57.32448,57.32448,2529847.94,5658788.96,"W 5812",35.03,"Jahr: 2017 (Gesamtfoerderung 6B: 18.4 Millionen m3)"
"WELLL738",11,0,47.11359,47.11359,2529847.94,5658788.96,"W 5812",53.55,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL740",9,0,63.74547,63.74547,2530172.81,5658373.2,"W 5815",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL740",10,0,59.9702,59.9702,2530172.81,5658373.2,"W 5815",35.03,"Jahr: 2017 (Gesamtfoerderung 6B: 18.4 Millionen m3)"
"WELLL740",11,0,51.03839,51.03839,2530172.81,5658373.2,"W 5815",53.55,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL860",9,0,61.59658,61.59658,2530041.18,5658643.89,"W 5963",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL860",10,0,58.27339,58.27339,2530041.18,5658643.89,"W 5963",35.03,"Jahr: 2017 (Gesamtfoerderung 6B: 18.4 Millionen m3)"
"WELLL860",11,0,49.29621,49.29621,2530041.18,5658643.89,"W 5963",53.55,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL944",9,0,64.27815,64.27815,2529988.65,5658509.59,"W 6200",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL944",10,0,59.50697,59.50697,2529988.65,5658509.59,"W 6200",35.03,"Jahr: 2017 (Gesamtfoerderung 6B: 18.4 Millionen m3)"
"WELLL944",11,0,49.17693,49.17693,2529988.65,5658509.59,"W 6200",53.55,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL954",9,0,60.38131,60.38131,2530069.25,5658783.1,"WA5980",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELLL954",10,0,57.53843,57.53843,2530069.25,5658783.1,"WA5980",35.03,"Jahr: 2017 (Gesamtfoerderung 6B: 18.4 Millionen m3)"
"WELLL954",11,0,48.99849,48.99849,2530069.25,5658783.1,"WA5980",53.55,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELL1014",9,0,67.94656,67.94656,2529756.44,5658357.51,"WA5813",11.78,"Jahr: 2016 (Gesamtfoerderung 6B: 6.2 Millionen m3)"
"WELL1014",10,0,61.51032,61.51032,2529756.44,5658357.51,"WA5813",35.03,"Jahr: 2017 (Gesamtfoerderung 6B: 18.4 Millionen m3)"
