"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,58.53225,58.53225,2529847.94,5658788.96,"W 5812",23.07,"Jahr: 2016 (Gesamtfoerderung 6B: 12.1 Millionen m3)"
"WELLL738",10,0,47.89243,47.89243,2529847.94,5658788.96,"W 5812",58.03,"Jahr: 2017 (Gesamtfoerderung 6B: 30.5 Millionen m3)"
"WELLL738",11,0,36.55865,36.55865,2529847.94,5658788.96,"W 5812",56.32,"Jahr: 2018 (Gesamtfoerderung 6B: 29.6 Millionen m3)"
"WELLL740",9,0,61.33594,61.33594,2530172.81,5658373.2,"W 5815",23.07,"Jahr: 2016 (Gesamtfoerderung 6B: 12.1 Millionen m3)"
"WELLL740",10,0,51.10602,51.10602,2530172.81,5658373.2,"W 5815",58.03,"Jahr: 2017 (Gesamtfoerderung 6B: 30.5 Millionen m3)"
"WELLL740",11,0,41.25625,41.25625,2530172.81,5658373.2,"W 5815",56.32,"Jahr: 2018 (Gesamtfoerderung 6B: 29.6 Millionen m3)"
"WELLL860",9,0,58.93836,58.93836,2530041.18,5658643.89,"W 5963",23.07,"Jahr: 2016 (Gesamtfoerderung 6B: 12.1 Millionen m3)"
"WELLL860",10,0,48.99652,48.99652,2530041.18,5658643.89,"W 5963",58.03,"Jahr: 2017 (Gesamtfoerderung 6B: 30.5 Millionen m3)"
"WELLL860",11,0,38.87456,38.87456,2530041.18,5658643.89,"W 5963",56.32,"Jahr: 2018 (Gesamtfoerderung 6B: 29.6 Millionen m3)"
"WELLL944",9,0,61.43903,61.43903,2529988.65,5658509.59,"W 6200",23.07,"Jahr: 2016 (Gesamtfoerderung 6B: 12.1 Millionen m3)"
"WELLL944",10,0,50.53916,50.53916,2529988.65,5658509.59,"W 6200",58.03,"Jahr: 2017 (Gesamtfoerderung 6B: 30.5 Millionen m3)"
