"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,58.50979,58.50979,2529847.94,5658788.96,"W 5812",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL738",10,0,47.76897,47.76897,2529847.94,5658788.96,"W 5812",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELLL738",11,0,36.52625,36.52625,2529847.94,5658788.96,"W 5812",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELLL740",9,0,61.33958,61.33958,2530172.81,5658373.2,"W 5815",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL740",10,0,51.07899,51.07899,2530172.81,5658373.2,"W 5815",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELLL740",11,0,41.24556,41.24556,2530172.81,5658373.2,"W 5815",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELLL860",9,0,58.93575,58.93575,2530041.18,5658643.89,"W 5963",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL860",10,0,48.93068,48.93068,2530041.18,5658643.89,"W 5963",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELLL860",11,0,38.85188,38.85188,2530041.18,5658643.89,"W 5963",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELLL944",9,0,61.43498,61.43498,2529988.65,5658509.59,"W 6200",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL944",10,0,50.48573,50.48573,2529988.65,5658509.59,"W 6200",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELLL944",11,0,39.63438,39.63438,2529988.65,5658509.59,"W 6200",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELLL954",9,0,57.54697,57.54697,2530069.25,5658783.1,"WA5980",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL954",10,0,47.88898,47.88898,2530069.25,5658783.1,"WA5980",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELLL954",11,0,38.10078,38.10078,2530069.25,5658783.1,"WA5980",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1014",9,0,64.21554,64.21554,2529756.44,5658357.51,"WA5813",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1014",10,0,53.33093,53.33093,2529756.44,5658357.51,"WA5813",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1014",11,0.09,38.54494,38.97994,2529756.44,5658357.51,"WA5813",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1016",9,0,60.69908,60.69908,2530084.04,5658515.11,"WA5814",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1016",10,0.3,45.78566,48.53179,2530084.04,5658515.11,"WA5814",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1016",11,0.13,37.87953,37.87952,2530084.04,5658515.11,"WA5814",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1020",9,0.4,59.9167,62.09445,2530053.05,5658116.42,"WA5817",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1020",10,0.56,45.35616,46.49565,2530053.05,5658116.42,"WA5817",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1020",11,0.09,40.91885,40.91885,2530053.05,5658116.42,"WA5817",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1106",9,0,60.42289,60.42289,2529856.43,5658664.39,"WA6199",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1106",10,0.2,45.96707,47.72523,2529856.43,5658664.39,"WA6199",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1106",11,0.09,35.72688,35.72688,2529856.43,5658664.39,"WA6199",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1142",9,0,60.45236,60.45236,2529582.45,5658758.27,"WA6246",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1142",10,0.2,44.68432,46.47967,2529582.45,5658758.27,"WA6246",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1142",11,0.09,34.82516,34.82516,2529582.45,5658758.27,"WA6246",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1144",9,0,61.88225,61.88225,2529817.69,5658565.94,"WA6247",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1144",10,0.46,41.89655,46.8822,2529817.69,5658565.94,"WA6247",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1144",11,0.09,36.72114,36.72114,2529817.69,5658565.94,"WA6247",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1146",9,0,65.37553,65.37553,2529560.26,5658379.33,"WA6248",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1146",10,0,53.9118,53.9118,2529560.26,5658379.33,"WA6248",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1146",11,0.1,38.64529,39.05345,2529560.26,5658379.33,"WA6248",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1148",9,0,66.44158,66.44158,2529388.19,5658371.25,"WA6249",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1148",10,0,53.51447,53.51447,2529388.19,5658371.25,"WA6249",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1148",11,0.1,38.73591,39.12938,2529388.19,5658371.25,"WA6249",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1150",9,0,64.33893,64.33893,2529891.5,5658197.02,"WA6251",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1150",10,0,53.23456,53.23456,2529891.5,5658197.02,"WA6251",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1150",11,0.09,39.90857,40.26399,2529891.5,5658197.02,"WA6251",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1152",9,0,74.66316,74.66316,2529329.83,5657831.95,"WA6253",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1152",10,0,66.04104,66.04104,2529329.83,5657831.95,"WA6253",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1152",11,0.15,52.12573,53.64931,2529329.83,5657831.95,"WA6253",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1158",9,0,67.80009,67.80009,2529922.03,5657843.68,"WA6256",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1158",10,0,56.8563,56.8563,2529922.03,5657843.68,"WA6256",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1158",11,0.12,43.69404,44.18706,2529922.03,5657843.68,"WA6256",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1198",9,0.55,56.73476,59.40726,2529323.2,5658729.44,"WA6291",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1198",10,0.71,40.50757,41.53691,2529323.2,5658729.44,"WA6291",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1198",11,0.12,35.81559,35.81559,2529323.2,5658729.44,"WA6291",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1200",9,0,62.40292,62.40292,2529560.42,5658619.19,"WA6292",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1200",10,0.3,45.08892,47.79743,2529560.42,5658619.19,"WA6292",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1200",11,0.09,36.18749,36.18749,2529560.42,5658619.19,"WA6292",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1202",9,0,61.00045,61.00045,2529751.28,5658659.18,"WA6293",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1202",10,0,48.97104,48.97104,2529751.28,5658659.18,"WA6293",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1202",11,0.08,35.49233,35.52039,2529751.28,5658659.18,"WA6293",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1204",9,0,64.07737,64.07737,2529481.34,5658487.75,"WA6294",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1204",10,0.3,47.01849,49.57873,2529481.34,5658487.75,"WA6294",58.58,"Jahr: 2017 (Gesamtfoerderung 6B: 30.8 Millionen m3)"
"WELL1204",11,0.11,37.26214,37.26214,2529481.34,5658487.75,"WA6294",56.07,"Jahr: 2018 (Gesamtfoerderung 6B: 29.5 Millionen m3)"
"WELL1206",9,0,66.86751,66.86751,2529262.94,5658401.32,"WA6295",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
