"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,60.29699,60.29699,2529847.94,5658788.96,"W 5812",13.25,"Jahr: 2016 (Gesamtfoerderung 6B: 7.0 Millionen m3)"
"WELLL738",10,0,53.65731,53.65731,2529847.94,5658788.96,"W 5812",40.81,"Jahr: 2017 (Gesamtfoerderung 6B: 21.4 Millionen m3)"
"WELLL738",11,0,41.14024,41.14024,2529847.94,5658788.96,"W 5812",53.53,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL740",9,0,62.05666,62.05666,2530172.81,5658373.2,"W 5815",13.25,"Jahr: 2016 (Gesamtfoerderung 6B: 7.0 Millionen m3)"
"WELLL740",10,0,56.39746,56.39746,2530172.81,5658373.2,"W 5815",40.81,"Jahr: 2017 (Gesamtfoerderung 6B: 21.4 Millionen m3)"
"WELLL740",11,0,46.1934,46.1934,2530172.81,5658373.2,"W 5815",53.53,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL860",9,0,59.79944,59.79944,2530041.18,5658643.89,"W 5963",13.25,"Jahr: 2016 (Gesamtfoerderung 6B: 7.0 Millionen m3)"
"WELLL860",10,0,53.99902,53.99902,2530041.18,5658643.89,"W 5963",40.81,"Jahr: 2017 (Gesamtfoerderung 6B: 21.4 Millionen m3)"
"WELLL860",11,0,42.85195,42.85195,2530041.18,5658643.89,"W 5963",53.53,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL944",9,0,62.57291,62.57291,2529988.65,5658509.59,"W 6200",13.25,"Jahr: 2016 (Gesamtfoerderung 6B: 7.0 Millionen m3)"
"WELLL944",10,0,56.10287,56.10287,2529988.65,5658509.59,"W 6200",40.81,"Jahr: 2017 (Gesamtfoerderung 6B: 21.4 Millionen m3)"
"WELLL944",11,0,44.13495,44.13495,2529988.65,5658509.59,"W 6200",53.53,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELLL954",9,0,58.45618,58.45618,2530069.25,5658783.1,"WA5980",13.25,"Jahr: 2016 (Gesamtfoerderung 6B: 7.0 Millionen m3)"
"WELLL954",10,0,52.91575,52.91575,2530069.25,5658783.1,"WA5980",40.81,"Jahr: 2017 (Gesamtfoerderung 6B: 21.4 Millionen m3)"
"WELLL954",11,0,41.98555,41.98555,2530069.25,5658783.1,"WA5980",53.53,"Jahr: 2018 (Gesamtfoerderung 6B: 28.1 Millionen m3)"
"WELL998",9,0,66.00676,66.00676,2529756.44,5658357.51,"WA5813",13.25,"Jahr: 2016 (Gesamtfoerderung 6B: 7.0 Millionen m3)"
