Brkenn,X_WERT,Y_WERT,wellid,y,x,k,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut,starttime,endtime,,x_4000
W 5665,2530514.74,5658744.71,well973,3442.16,3323.81,2,thiem,0,0,0,0,0.5,6,0,11,11,,2323.81
W 5666,2530409.07,5658691.72,well974,3495.15,3218.14,2,thiem,0,0,0,0,0.5,6,0,9,9,,2218.14
W 5712,2529788.99,5661139.57,well975,1047.3,2598.06,2,thiem,0,0,0,0,0.5,6,0,11,11,,1598.06
W 5749,2528816.75,5658569.02,well976,3617.85,1625.82,2,thiem,0,0,0,0,0.5,6,0,12,12,,625.82
W 5775,2529127.32,5660722.82,well977,1464.05,1936.39,2,thiem,0,0,0,0,0.5,6,0,9,11,,936.39
W 5777,2529141.43,5659993.89,well978,2192.98,1950.5,2,thiem,0,0,0,0,0.5,6,0,9,11,,950.5
W 5778,2529108.44,5659567.44,well979,2619.43,1917.51,2,thiem,0,0,0,0,0.5,6,0,9,11,,917.51
W 5779,2528789.16,5661563.91,well980,622.96,1598.23,2,thiem,0,0,0,0,0.5,6,0,12,12,,598.23
W 5780,2528700.32,5661512.18,well981,674.69,1509.39,2,thiem,0,0,0,0,0.5,6,0,11,11,,509.39
W 5782,2528482.95,5661515.94,well982,670.93,1292.02,2,thiem,0,0,0,0,0.5,6,0,12,12,,292.02
W 5784,2528345.99,5661445.15,well983,741.72,1155.06,2,thiem,0,0,0,0,0.5,6,0,12,12,,155.06
W 5785,2528723.23,5661446.05,well984,740.82,1532.3,2,thiem,0,0,0,0,0.5,6,0,12,12,,532.3
W 5799,2530749.14,5658663.87,well985,3523,3558.21,2,thiem,0,0,0,0,0.5,6,0,9,11,,2558.21
W 5805,2529327.73,5661116.26,well986,1070.61,2136.8,2,thiem,0,0,0,0,0.5,6,0,9,11,,1136.8
W 5819,2530135.43,5657597.39,well987,4589.48,2944.5,2,thiem,0,0,0,0,0.5,6,0,11,11,,1944.5
W 5821,2528713.46,5660369.72,well988,1817.15,1522.53,2,thiem,0,0,0,0,0.5,6,0,12,12,,522.53
W 5842,2530683.37,5659860.93,well989,2325.94,3492.44,2,thiem,0,0,0,0,0.5,6,0,12,12,,2492.44
W 5975,2530334.25,5657959.45,well990,4227.42,3143.32,2,thiem,0,0,0,0,0.5,6,0,9,11,,2143.32
W 5985,2528423.58,5660294.45,well991,1892.42,1232.65,2,thiem,0,0,0,0,0.5,6,0,11,11,,232.65
W 5987,2528779.09,5659936.75,well992,2250.12,1588.16,2,thiem,0,0,0,0,0.5,6,0,12,12,,588.16
W 5996,2528830.84,5660333.41,well993,1853.46,1639.91,2,thiem,0,0,0,0,0.5,6,0,12,12,,639.91
W 5999,2528556.31,5660820.2,well994,1366.67,1365.38,2,thiem,0,0,0,0,0.5,6,0,12,12,,365.38
W 6002,2528481.62,5661134.03,well995,1052.84,1290.69,2,thiem,0,0,0,0,0.5,6,0,10,11,,290.69
W 6005,2529609.46,5661260.18,well996,926.69,2418.53,2,thiem,0,0,0,0,0.5,6,0,12,12,,1418.53
W 6037,2529862.5,5661818.68,well997,368.19,2671.57,2,thiem,0,0,0,0,0.5,6,0,10,11,,1671.57
W 6040,2530009.18,5661674.16,well998,512.71,2818.25,2,thiem,0,0,0,0,0.5,6,0,10,11,,1818.25
W 6045,2529913.84,5661729.56,well999,457.31,2722.91,2,thiem,0,0,0,0,0.5,6,0,10,11,,1722.91
W 6053,2530160.89,5661755.38,well1000,431.49,2969.96,2,thiem,0,0,0,0,0.5,6,0,10,11,,1969.96
W 6075,2528720.59,5660977.78,well1001,1209.09,1529.66,2,thiem,0,0,0,0,0.5,6,0,12,12,,529.66
W 6089,2528417.34,5658751.98,well1002,3434.89,1226.41,2,thiem,0,0,0,0,0.5,6,0,12,12,,226.41
W 6121,2528345.99,5661445.15,well1003,741.72,1155.06,2,thiem,0,0,0,0,0.5,6,0,12,12,,155.06
W 6122,2530037.55,5661831.26,well1004,355.61,2846.62,2,thiem,0,0,0,0,0.5,6,0,10,11,,1846.62
W 6129,2529448.55,5661554.61,well1005,632.26,2257.62,2,thiem,0,0,0,0,0.5,6,0,11,11,,1257.62
W 6130,2529888.7,5661324,well1006,862.87,2697.77,2,thiem,0,0,0,0,0.5,6,0,11,11,,1697.77
W 6139,2529080.18,5660596.64,well1007,1590.23,1889.25,2,thiem,0,0,0,0,0.5,6,0,11,11,,889.25
W 6150,2529669.57,5661373.68,well1008,813.19,2478.64,2,thiem,0,0,0,0,0.5,6,0,11,11,,1478.64
W 6157,2528403.21,5660672.93,well1009,1513.94,1212.28,2,thiem,0,0,0,0,0.5,6,0,11,11,,212.28
W 6158,2530555.59,5657941.75,well1010,4245.12,3364.66,2,thiem,0,0,0,0,0.5,6,0,9,11,,2364.66
W 6182,2529076.21,5661142.43,well1011,1044.44,1885.28,2,thiem,0,0,0,0,0.5,6,0,11,11,,885.28
W 6224,2529410.8,5661253.76,well1012,933.11,2219.87,2,thiem,0,0,0,0,0.5,6,0,11,11,,1219.87
W 6233,2528395.69,5660068.53,well1013,2118.34,1204.76,2,thiem,0,0,0,0,0.5,6,0,12,12,,204.76
W 6235,2528361.11,5660413.51,well1014,1773.36,1170.18,2,thiem,0,0,0,0,0.5,6,0,12,12,,170.18
W 6252,2528489.64,5660371.97,well1015,1814.9,1298.71,2,thiem,0,0,0,0,0.5,6,0,11,11,,298.71
W 6263,2528343.18,5659530.53,well1016,2656.34,1152.25,2,thiem,0,0,0,0,0.5,6,0,12,12,,152.25
W 6273,2529264.84,5661329.86,well1017,857.01,2073.91,2,thiem,0,0,0,0,0.5,6,0,11,11,,1073.91
W 6274,2529216.53,5661176.19,well1018,1010.68,2025.6,2,thiem,0,0,0,0,0.5,6,0,11,11,,1025.6
W 6275,2529070.49,5660804.14,well1019,1382.73,1879.56,2,thiem,0,0,0,0,0.5,6,0,11,11,,879.56
W 6276,2528408.02,5659220.5,well1020,2966.37,1217.09,2,thiem,0,0,0,0,0.5,6,0,12,12,,217.09
W 6277,2528467.55,5661454.61,well1021,732.26,1276.62,2,thiem,0,0,0,0,0.5,6,0,10,11,,276.62
W 6301,2528742.74,5657897.15,well1022,4289.72,1551.81,2,thiem,0,0,0,0,0.5,6,0,11,11,,551.81
W 6308,2530345.09,5657216.78,well1023,4970.09,3154.16,2,thiem,0,0,0,0,0.5,6,0,11,11,,2154.16
W 6313,2528640.7,5659660.94,well1024,2525.93,1449.77,2,thiem,0,0,0,0,0.5,6,0,11,11,,449.77
W 6318,2528323.62,5660954.49,well1025,1232.38,1132.69,2,thiem,0,0,0,0,0.5,6,0,12,12,,132.69
W 6320,2529362.87,5661522.14,well1026,664.73,2171.94,2,thiem,0,0,0,0,0.5,6,0,10,11,,1171.94
W 6321,2529541.98,5661666.89,well1027,519.98,2351.05,2,thiem,0,0,0,0,0.5,6,0,12,12,,1351.05
W 6322,2528352.12,5661074.14,well1028,1112.73,1161.19,2,thiem,0,0,0,0,0.5,6,0,12,12,,161.19
W 6323,2529669.68,5661074.37,well1029,1112.5,2478.75,2,thiem,0,0,0,0,0.5,6,0,12,12,,1478.75
W 6324,2528392.4,5660882.09,well1030,1304.78,1201.47,2,thiem,0,0,0,0,0.5,6,0,12,12,,201.47
W 6325,2529546.46,5661602.83,well1031,584.04,2355.53,2,thiem,0,0,0,0,0.5,6,0,12,12,,1355.53
W 6327,2528520.53,5660052.66,well1032,2134.21,1329.6,2,thiem,0,0,0,0,0.5,6,0,12,12,,329.6
W 6328,2528405.63,5659805.2,well1033,2381.67,1214.7,2,thiem,0,0,0,0,0.5,6,0,12,12,,214.7
W 6330,2528407.21,5659711.8,well1034,2475.07,1216.28,2,thiem,0,0,0,0,0.5,6,0,12,12,,216.28
W 6331,2528588.88,5660159.7,well1035,2027.17,1397.95,2,thiem,0,0,0,0,0.5,6,0,12,12,,397.95
W 6340,2529195.69,5658745.19,well1036,3441.68,2004.76,2,thiem,0,0,0,0,0.5,6,0,11,11,,1004.76
W 6346,2529514.32,5658002.68,well1037,4184.19,2323.39,2,thiem,0,0,0,0,0.5,6,0,11,11,,1323.39
W 6349,2529641.86,5657790.24,well1038,4396.63,2450.93,2,thiem,0,0,0,0,0.5,6,0,11,11,,1450.93
W 6354,2529050.99,5657502.64,well1039,4684.23,1860.06,2,thiem,0,0,0,0,0.5,6,0,12,12,,860.06
W 6355,2528786.5,5657693.45,well1040,4493.42,1595.57,2,thiem,0,0,0,0,0.5,6,0,12,12,,595.57
W 6359,2530563.32,5657276.66,well1041,4910.21,3372.39,2,thiem,0,0,0,0,0.5,6,0,12,12,,2372.39
W 6362,2528578.55,5659182.61,well1042,3004.26,1387.62,2,thiem,0,0,0,0,0.5,6,0,11,11,,387.62
W 6363,2528399.5,5657830.46,well1043,4356.41,1208.57,2,thiem,0,0,0,0,0.5,6,0,11,11,,208.57
W 6365,2528597.31,5658597.84,well1044,3589.03,1406.38,2,thiem,0,0,0,0,0.5,6,0,12,12,,406.38
W 6368,2531007.69,5657139.53,well1045,5047.34,3816.76,2,thiem,0,0,0,0,0.5,6,0,12,12,,2816.76
W 6377,2528428.01,5658532.34,well1046,3654.53,1237.08,2,thiem,0,0,0,0,0.5,6,0,12,12,,237.08
W 6379,2528407.53,5658306.25,well1047,3880.62,1216.6,2,thiem,0,0,0,0,0.5,6,0,11,11,,216.6
W 6382,2528322.29,5659674.83,well1048,2512.04,1131.36,2,thiem,0,0,0,0,0.5,6,0,12,12,,131.36
W 6384,2528535.54,5658975.28,well1049,3211.59,1344.61,2,thiem,0,0,0,0,0.5,6,0,11,11,,344.61
W 6385,2528924.84,5657533.77,well1050,4653.1,1733.91,2,thiem,0,0,0,0,0.5,6,0,12,12,,733.91
W 6389,2530839.94,5657412.96,well1051,4773.91,3649.01,2,thiem,0,0,0,0,0.5,6,0,11,11,,2649.01
W 6391,2530500.09,5657567.27,well1052,4619.6,3309.16,2,thiem,0,0,0,0,0.5,6,0,11,11,,2309.16
W 6392,2530604.76,5657539.83,well1053,4647.04,3413.83,2,thiem,0,0,0,0,0.5,6,0,11,11,,2413.83
W 6393,2530672.37,5657276.13,well1054,4910.74,3481.44,2,thiem,0,0,0,0,0.5,6,0,12,12,,2481.44
