Brkenn,X_WERT,Y_WERT,wellid,y,x,k,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut,starttime,endtime,,x_4000
W 6395,2530436.48,5657362.09,well1055,4824.78,3245.55,2,thiem,0,0,0,0,0.5,6,0,11,11,,2245.55
W 6396,2530667.7,5657156.59,well1056,5030.28,3476.77,2,thiem,0,0,0,0,0.5,6,0,11,11,,2476.77
W 6398,2530191.28,5657318.16,well1057,4868.71,3000.35,2,thiem,0,0,0,0,0.5,6,0,11,11,,2000.35
W 6403,2528360.38,5660776.86,well1058,1410.01,1169.45,2,thiem,0,0,0,0,0.5,6,0,11,11,,169.45
W 6412,2528571.09,5659454.28,well1059,2732.59,1380.16,2,thiem,0,0,0,0,0.5,6,0,12,12,,380.16
W 6427,2530050.2,5659967.27,well1060,2219.6,2859.27,2,thiem,0,0,0,0,0.5,6,0,12,12,,1859.27
W 6428,2530101.76,5659811.27,well1061,2375.6,2910.83,2,thiem,0,0,0,0,0.5,6,0,12,12,,1910.83
W 6429,2530179.81,5659644.34,well1062,2542.53,2988.88,2,thiem,0,0,0,0,0.5,6,0,12,12,,1988.88
W 6438,2528444.07,5658057.16,well1063,4129.71,1253.14,2,thiem,0,0,0,0,0.5,6,0,12,12,,253.14
W 6446,2528602.78,5657833.66,well1064,4353.21,1411.85,2,thiem,0,0,0,0,0.5,6,0,12,12,,411.85
W 6448,2528395.69,5660068.53,well1065,2118.34,1204.76,2,thiem,0,0,0,0,0.5,6,0,12,12,,204.76
W 6450,2528503.36,5657762.51,well1066,4424.36,1312.43,2,thiem,0,0,0,0,0.5,6,0,12,12,,312.43
W 6475,2528493.69,5658819.06,well1067,3367.81,1302.76,2,thiem,0,0,0,0,0.5,6,0,12,12,,302.76
W 6511,2528725.95,5661374.27,well1068,812.6,1535.02,2,thiem,0,0,0,0,0.5,6,0,12,12,,535.02
W 6514,2528839.74,5661314.57,well1069,872.3,1648.81,2,thiem,0,0,0,0,0.5,6,0,12,12,,648.81
W 6515,2528611.01,5661537.87,well1070,649,1420.08,2,thiem,0,0,0,0,0.5,6,0,10,11,,420.08
W 6523,2528725.24,5661255.14,well1071,931.73,1534.31,2,thiem,0,0,0,0,0.5,6,0,12,12,,534.31
W 6525,2528812.73,5660885.09,well1072,1301.78,1621.8,2,thiem,0,0,0,0,0.5,6,0,12,12,,621.8
W 6527,2528710.19,5661095.56,well1073,1091.31,1519.26,2,thiem,0,0,0,0,0.5,6,0,12,12,,519.26
W 6528,2528809.37,5661499.13,well1074,687.74,1618.44,2,thiem,0,0,0,0,0.5,6,0,12,12,,618.44
W 6531,2528633.96,5661309.89,well1075,876.98,1443.03,2,thiem,0,0,0,0,0.5,6,0,12,12,,443.03
W 6534,2528348.16,5661189.99,well1076,996.88,1157.23,2,thiem,0,0,0,0,0.5,6,0,12,12,,157.23
WA5748,2528670.41,5658684.67,well1077,3502.2,1479.48,2,thiem,0,0,0,0,0.5,6,0,10,11,,479.48
WA5750,2530277.87,5658296.64,well1078,3890.23,3086.94,2,thiem,0,0,0,0,0.5,6,0,9,11,,2086.94
WA5781,2528415.59,5661264.28,well1079,922.59,1224.66,2,thiem,0,0,0,0,0.5,6,0,9,11,,224.66
WA5810,2529583.37,5659113.14,well1080,3073.73,2392.44,2,thiem,0,0,0,0,0.5,6,0,9,11,,1392.44
WA5813,2529756.44,5658357.51,well1081,3829.36,2565.51,2,thiem,0,0,0,0,0.5,6,0,10,11,,1565.51
WA5814,2530084.04,5658515.11,well1082,3671.76,2893.11,2,thiem,0,0,0,0,0.5,6,0,9,10,,1893.11
WA5816,2530202.88,5658211.2,well1083,3975.67,3011.95,2,thiem,0,0,0,0,0.5,6,0,9,11,,2011.95
WA5817,2530053.05,5658116.42,well1084,4070.45,2862.12,2,thiem,0,0,0,0,0.5,6,0,9,11,,1862.12
WA5818,2530122.96,5657769.43,well1085,4417.44,2932.03,2,thiem,0,0,0,0,0.5,6,0,9,11,,1932.03
WA5820,2530190.04,5657466.61,well1086,4720.26,2999.11,2,thiem,0,0,0,0,0.5,6,0,9,11,,1999.11
WA5974,2530466.94,5657888.25,well1087,4298.62,3276.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,2276.01
WA5976,2530233.11,5658699.5,well1088,3487.37,3042.18,2,thiem,0,0,0,0,0.5,6,0,9,11,,2042.18
WA5978,2530188.02,5658949.78,well1089,3237.09,2997.09,2,thiem,0,0,0,0,0.5,6,0,9,11,,1997.09
WA5979,2530069.32,5659195.8,well1090,2991.07,2878.39,2,thiem,0,0,0,0,0.5,6,0,9,11,,1878.39
WA5986,2529013.76,5660069.33,well1091,2117.54,1822.83,2,thiem,0,0,0,0,0.5,6,0,9,11,,822.83
WA5988,2528901.95,5659736.27,well1092,2450.6,1711.02,2,thiem,0,0,0,0,0.5,6,0,9,11,,711.02
WA5989,2528728.03,5659617.25,well1093,2569.62,1537.1,2,thiem,0,0,0,0,0.5,6,0,12,12,,537.1
WA5990,2528759.59,5659526.48,well1094,2660.39,1568.66,2,thiem,0,0,0,0,0.5,6,0,9,11,,568.66
WA5991,2528511.79,5660683.61,well1095,1503.26,1320.86,2,thiem,0,0,0,0,0.5,6,0,9,11,,320.86
WA5992,2528536.5,5659732.95,well1096,2453.92,1345.57,2,thiem,0,0,0,0,0.5,6,0,9,11,,345.57
WA5993,2528611.33,5659963.93,well1097,2222.94,1420.4,2,thiem,0,0,0,0,0.5,6,0,10,11,,420.4
WA5994,2528673.91,5660069.99,well1098,2116.88,1482.98,2,thiem,0,0,0,0,0.5,6,0,9,11,,482.98
WA5997,2528643.88,5660277.77,well1099,1909.1,1452.95,2,thiem,0,0,0,0,0.5,6,0,10,11,,452.95
WA5998,2528431.18,5660509.89,well1100,1676.98,1240.25,2,thiem,0,0,0,0,0.5,6,0,9,11,,240.25
WA6001,2528461.37,5661007.76,well1101,1179.11,1270.44,2,thiem,0,0,0,0,0.5,6,0,9,11,,270.44
WA6024,2529559.55,5660298.92,well1102,1887.95,2368.62,2,thiem,0,0,0,0,0.5,6,0,9,11,,1368.62
WA6071,2529448.19,5660569.87,well1103,1617,2257.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,1257.26
WA6076,2529477.61,5660244.51,well1104,1942.36,2286.68,2,thiem,0,0,0,0,0.5,6,0,9,11,,1286.68
WA6094,2531364.69,5657718.69,well1105,4468.18,4173.76,2,thiem,0,0,0,0,0.5,6,0,9,11,,3173.76
WA6095,2531089.47,5657533.35,well1106,4653.52,3898.54,2,thiem,0,0,0,0,0.5,6,0,9,11,,2898.54
WA6096,2531448.58,5657342.93,well1107,4843.94,4257.65,2,thiem,0,0,0,0,0.5,6,0,9,11,,3257.65
WA6098,2531410.44,5657114.25,well1108,5072.62,4219.51,2,thiem,0,0,0,0,0.5,6,0,9,11,,3219.51
WA6131,2529367.94,5661206,well1109,980.87,2177.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,1177.01
WA6132,2529432.19,5661074.32,well1110,1112.55,2241.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,1241.26
WA6146,2529680.39,5660374.2,well1111,1812.67,2489.46,2,thiem,0,0,0,0,0.5,6,0,9,11,,1489.46
WA6149,2529737.21,5660210.05,well1112,1976.82,2546.28,2,thiem,0,0,0,0,0.5,6,0,9,11,,1546.28
WA6151,2529747.49,5659975.48,well1113,2211.39,2556.56,2,thiem,0,0,0,0,0.5,6,0,9,11,,1556.56
WA6155,2530012.82,5659505.79,well1114,2681.08,2821.89,2,thiem,0,0,0,0,0.5,6,0,9,11,,1821.89
WA6159,2530848.61,5657795.42,well1115,4391.45,3657.68,2,thiem,0,0,0,0,0.5,6,0,9,11,,2657.68
WA6160,2531053.61,5658027.57,well1116,4159.3,3862.68,2,thiem,0,0,0,0,0.5,6,0,9,11,,2862.68
WA6161,2530911.61,5657640.93,well1117,4545.94,3720.68,2,thiem,0,0,0,0,0.5,6,0,9,11,,2720.68
WA6164,2531212.63,5657489.2,well1118,4697.67,4021.7,2,thiem,0,0,0,0,0.5,6,0,9,11,,3021.7
WA6178,2529148.46,5661450.93,well1119,735.94,1957.53,2,thiem,0,0,0,0,0.5,6,0,10,11,,957.53
WA6184,2529322,5660923.96,well1120,1262.91,2131.07,2,thiem,0,0,0,0,0.5,6,0,9,11,,1131.07
WA6188,2529345.52,5660509.39,well1121,1677.48,2154.59,2,thiem,0,0,0,0,0.5,6,0,9,11,,1154.59
WA6192,2529418.95,5659456.52,well1122,2730.35,2228.02,2,thiem,0,0,0,0,0.5,6,0,9,11,,1228.02
WA6194,2529812.49,5659484.16,well1123,2702.71,2621.56,2,thiem,0,0,0,0,0.5,6,0,9,11,,1621.56
WA6195,2529774.62,5659371.43,well1124,2815.44,2583.69,2,thiem,0,0,0,0,0.5,6,0,9,11,,1583.69
WA6196,2529880.94,5659348.82,well1125,2838.05,2690.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,1690.01
WA6197,2529790.46,5659171.83,well1126,3015.04,2599.53,2,thiem,0,0,0,0,0.5,6,0,9,11,,1599.53
WA6198,2529925.87,5658928.57,well1127,3258.3,2734.94,2,thiem,0,0,0,0,0.5,6,0,9,11,,1734.94
WA6199,2529856.43,5658664.39,well1128,3522.48,2665.5,2,thiem,0,0,0,0,0.5,6,0,9,11,,1665.5
WA6202,2530427.62,5658393.03,well1129,3793.84,3236.69,2,thiem,0,0,0,0,0.5,6,0,9,10,,2236.69
WA6204,2530560.04,5658111.29,well1130,4075.58,3369.11,2,thiem,0,0,0,0,0.5,6,0,9,11,,2369.11
WA6205,2530198.8,5658050.86,well1131,4136.01,3007.87,2,thiem,0,0,0,0,0.5,6,0,9,11,,2007.87
WA6207,2530292.79,5657742.91,well1132,4443.96,3101.86,2,thiem,0,0,0,0,0.5,6,0,9,11,,2101.86
WA6208,2530708.52,5657866.34,well1133,4320.53,3517.59,2,thiem,0,0,0,0,0.5,6,0,9,11,,2517.59
WA6209,2530741.41,5657647.67,well1134,4539.2,3550.48,2,thiem,0,0,0,0,0.5,6,0,9,11,,2550.48
WA6210,2531015.46,5657321.43,well1135,4865.44,3824.53,2,thiem,0,0,0,0,0.5,6,0,9,11,,2824.53
WA6214,2531436.62,5657028.76,well1136,5158.11,4245.69,2,thiem,0,0,0,0,0.5,6,0,12,12,,3245.69
WA6220,2529042.06,5661465.12,well1137,721.75,1851.13,2,thiem,0,0,0,0,0.5,6,0,10,11,,851.13
WA6229,2529186.29,5660657.35,well1138,1529.52,1995.36,2,thiem,0,0,0,0,0.5,6,0,9,11,,995.36
WA6230,2529011.19,5660400.56,well1139,1786.31,1820.26,2,thiem,0,0,0,0,0.5,6,0,10,11,,820.26
WA6237,2529716.2,5659883.47,well1140,2303.4,2525.27,2,thiem,0,0,0,0,0.5,6,0,9,11,,1525.27
WA6239,2529428.29,5659620.83,well1141,2566.04,2237.36,2,thiem,0,0,0,0,0.5,6,0,9,11,,1237.36
WA6240,2529632.84,5659575.28,well1142,2611.59,2441.91,2,thiem,0,0,0,0,0.5,6,0,9,11,,1441.91
WA6241,2529643.87,5659347.26,well1143,2839.61,2452.94,2,thiem,0,0,0,0,0.5,6,0,9,11,,1452.94
WA6243,2528579.19,5659332.25,well1144,2854.62,1388.26,2,thiem,0,0,0,0,0.5,6,0,10,11,,388.26
WA6244,2529700.16,5658949.67,well1145,3237.2,2509.23,2,thiem,0,0,0,0,0.5,6,0,9,11,,1509.23
WA6245,2529338.31,5658990.87,well1146,3196,2147.38,2,thiem,0,0,0,0,0.5,6,0,9,11,,1147.38
WA6246,2529582.45,5658758.27,well1147,3428.6,2391.52,2,thiem,0,0,0,0,0.5,6,0,9,11,,1391.52
WA6247,2529817.69,5658565.94,well1148,3620.93,2626.76,2,thiem,0,0,0,0,0.5,6,0,9,11,,1626.76
WA6248,2529560.26,5658379.33,well1149,3807.54,2369.33,2,thiem,0,0,0,0,0.5,6,0,10,11,,1369.33
WA6249,2529388.19,5658371.25,well1150,3815.62,2197.26,2,thiem,0,0,0,0,0.5,6,0,10,11,,1197.26
WA6251,2529891.5,5658197.02,well1151,3989.85,2700.57,2,thiem,0,0,0,0,0.5,6,0,10,11,,1700.57
WA6253,2529329.83,5657831.95,well1152,4354.92,2138.9,2,thiem,0,0,0,0,0.5,6,0,10,11,,1138.9
WA6254,2529390.29,5657694.33,well1153,4492.54,2199.36,2,thiem,0,0,0,0,0.5,6,0,10,11,,1199.36
WA6255,2528541.24,5658078.14,well1154,4108.73,1350.31,2,thiem,0,0,0,0,0.5,6,0,10,11,,350.31
WA6256,2529922.03,5657843.68,well1155,4343.19,2731.1,2,thiem,0,0,0,0,0.5,6,0,10,11,,1731.1
WA6257,2530012.93,5657780.89,well1156,4405.98,2822,2,thiem,0,0,0,0,0.5,6,0,10,11,,1822
WA6258,2530006.28,5657583.03,well1157,4603.84,2815.35,2,thiem,0,0,0,0,0.5,6,0,10,11,,1815.35
WA6259,2530055.9,5657678.81,well1158,4508.06,2864.97,2,thiem,0,0,0,0,0.5,6,0,9,11,,1864.97
WA6260,2530277.27,5657580,well1159,4606.87,3086.34,2,thiem,0,0,0,0,0.5,6,0,10,11,,2086.34
WA6261,2530645.43,5657748.64,well1160,4438.23,3454.5,2,thiem,0,0,0,0,0.5,6,0,10,11,,2454.5
WA6262,2530695.22,5657986.85,well1161,4200.02,3504.29,2,thiem,0,0,0,0,0.5,6,0,9,11,,2504.29
WA6272,2528959.65,5661348.8,well1162,838.07,1768.72,2,thiem,0,0,0,0,0.5,6,0,10,11,,768.72
WA6278,2529011.19,5660400.56,well1163,1786.31,1820.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,820.26
WA6279,2528874.19,5660168.25,well1164,2018.62,1683.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,683.26
WA6280,2529027.17,5660234.69,well1165,1952.18,1836.24,2,thiem,0,0,0,0,0.5,6,0,9,11,,836.24
WA6282,2529045.51,5659976.67,well1166,2210.2,1854.58,2,thiem,0,0,0,0,0.5,6,0,9,11,,854.58
WA6283,2528591.21,5660369.8,well1167,1817.07,1400.28,2,thiem,0,0,0,0,0.5,6,0,9,11,,400.28
WA6284,2529340.8,5659639.42,well1168,2547.45,2149.87,2,thiem,0,0,0,0,0.5,6,0,9,11,,1149.87
WA6285,2529241.36,5659555.51,well1169,2631.36,2050.43,2,thiem,0,0,0,0,0.5,6,0,9,11,,1050.43
WA6286,2529302.21,5659466.93,well1170,2719.94,2111.28,2,thiem,0,0,0,0,0.5,6,0,10,11,,1111.28
WA6287,2529139.75,5659257.96,well1171,2928.91,1948.82,2,thiem,0,0,0,0,0.5,6,0,9,11,,948.82
WA6288,2528407.25,5658983.9,well1172,3202.97,1216.32,2,thiem,0,0,0,0,0.5,6,0,10,11,,216.32
WA6289,2528593.95,5658231.09,well1173,3955.78,1403.02,2,thiem,0,0,0,0,0.5,6,0,9,11,,403.02
WA6290,2529262.37,5658829.76,well1174,3357.11,2071.44,2,thiem,0,0,0,0,0.5,6,0,9,11,,1071.44
WA6291,2529323.2,5658729.44,well1175,3457.43,2132.27,2,thiem,0,0,0,0,0.5,6,0,9,11,,1132.27
WA6292,2529560.42,5658619.19,well1176,3567.68,2369.49,2,thiem,0,0,0,0,0.5,6,0,9,11,,1369.49
WA6293,2529751.28,5658659.18,well1177,3527.69,2560.35,2,thiem,0,0,0,0,0.5,6,0,10,11,,1560.35
WA6294,2529481.34,5658487.75,well1178,3699.12,2290.41,2,thiem,0,0,0,0,0.5,6,0,9,11,,1290.41
WA6295,2529262.94,5658401.32,well1179,3785.55,2072.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,1072.01
WA6296,2529474.21,5658109.89,well1180,4076.98,2283.28,2,thiem,0,0,0,0,0.5,6,0,10,11,,1283.28
WA6297,2529036.78,5658163.16,well1181,4023.71,1845.85,2,thiem,0,0,0,0,0.5,6,0,9,11,,845.85
WA6298,2529722.32,5657913.16,well1182,4273.71,2531.39,2,thiem,0,0,0,0,0.5,6,0,9,11,,1531.39
WA6299,2529643.2,5658035.09,well1183,4151.78,2452.27,2,thiem,0,0,0,0,0.5,6,0,9,11,,1452.27
WA6300,2529905.71,5658016.5,well1184,4170.37,2714.78,2,thiem,0,0,0,0,0.5,6,0,9,11,,1714.78
WA6302,2529735.32,5657797.18,well1185,4389.69,2544.39,2,thiem,0,0,0,0,0.5,6,0,9,11,,1544.39
WA6303,2529155.53,5657606.18,well1186,4580.69,1964.6,2,thiem,0,0,0,0,0.5,6,0,9,11,,964.6
WA6304,2529633.34,5657680.91,well1187,4505.96,2442.41,2,thiem,0,0,0,0,0.5,6,0,9,11,,1442.41
WA6305,2529711.96,5657555.89,well1188,4630.98,2521.03,2,thiem,0,0,0,0,0.5,6,0,9,11,,1521.03
WA6306,2529428.81,5657563.2,well1189,4623.67,2237.88,2,thiem,0,0,0,0,0.5,6,0,10,11,,1237.88
WA6307,2529936.69,5657451.51,well1190,4735.36,2745.76,2,thiem,0,0,0,0,0.5,6,0,9,11,,1745.76
WA6326,2528484.12,5659517.64,well1191,2669.23,1293.19,2,thiem,0,0,0,0,0.5,6,0,9,11,,293.19
WA6329,2528850.76,5659562.33,well1192,2624.54,1659.83,2,thiem,0,0,0,0,0.5,6,0,10,11,,659.83
WA6332,2528994.97,5659338.48,well1193,2848.39,1804.04,2,thiem,0,0,0,0,0.5,6,0,10,11,,804.04
WA6333,2528684.64,5659880.28,well1194,2306.59,1493.71,2,thiem,0,0,0,0,0.5,6,0,9,11,,493.71
