wkt_geom,OBJECTID,Id,Komm,Ip,X_WERT,Y_WERT,Typ,Brgwl,Iz,Nbr,Rbr,Ski,Hz,Hbr,Qbr,Brkenn
Point (2534249.58000000007450581 5663054.92999999970197678),9110,0,,34635,2534249.58,5663054.93,M,xx0987654321,27,1,0.5,1,0,0,-0.451,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9111,0,,34635,2534249.58,5663054.93,M,xx0987654321,28,1,0.5,1,0,0,-1.624,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9112,0,,34635,2534249.58,5663054.93,M,xx0987654321,29,1,0.5,1,0,0,-1.418,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9113,0,,34635,2534249.58,5663054.93,M,xx0987654321,30,1,0.5,1,0,0,-1.336,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9114,0,,34635,2534249.58,5663054.93,M,xx0987654321,31,1,0.5,1,0,0,-1.101,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9115,0,,34635,2534249.58,5663054.93,M,xx0987654321,32,1,0.5,1,0,0,-1.044,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9116,0,,34635,2534249.58,5663054.93,M,xx0987654321,33,1,0.5,1,0,0,-0.951,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9117,0,,34635,2534249.58,5663054.93,M,xx0987654321,34,1,0.5,1,0,0,-0.778,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9118,0,,34635,2534249.58,5663054.93,M,xx0987654321,35,1,0.5,1,0,0,-1.185,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9119,0,,34635,2534249.58,5663054.93,M,xx0987654321,36,1,0.5,1,0,0,-1.139,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9120,0,,34635,2534249.58,5663054.93,M,xx0987654321,37,1,0.5,1,0,0,-1.121,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9121,0,,34635,2534249.58,5663054.93,M,xx0987654321,38,1,0.5,1,0,0,-1.082,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9122,0,,34635,2534249.58,5663054.93,M,xx0987654321,39,1,0.5,1,0,0,-0.94,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9123,0,,34635,2534249.58,5663054.93,M,xx0987654321,40,1,0.5,1,0,0,-0.892,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9124,0,,34635,2534249.58,5663054.93,M,xx0987654321,41,1,0.5,1,0,0,-0.494,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9125,0,,34635,2534249.58,5663054.93,M,xx0987xxxxxx,42,1,0.5,1,0,0,-0.755,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9126,0,,34635,2534249.58,5663054.93,M,xx0987xxxxxx,43,1,0.5,1,0,0,-0.777,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9127,0,,34635,2534249.58,5663054.93,M,xx0987xxxxxx,44,1,0.5,1,0,0,-0.88,WR0893
Point (2534249.58000000007450581 5663054.92999999970197678),9128,0,,34635,2534249.58,5663054.93,M,xx0987xxxxxx,45,1,0.5,1,0,0,-0.807,WR0893
Point (2534267.12000000011175871 5663115.03000000026077032),9129,0,,34636,2534267.12,5663115.03,M,xx0987654321,27,1,0.5,1,0,0,-0.868,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9130,0,,34636,2534267.12,5663115.03,M,xx0987654321,28,1,0.5,1,0,0,-2.275,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9131,0,,34636,2534267.12,5663115.03,M,xx0987654321,29,1,0.5,1,0,0,-1.874,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9132,0,,34636,2534267.12,5663115.03,M,xx0987654321,30,1,0.5,1,0,0,-1.557,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9133,0,,34636,2534267.12,5663115.03,M,xx0987654321,31,1,0.5,1,0,0,-1.366,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9134,0,,34636,2534267.12,5663115.03,M,xx0987654321,32,1,0.5,1,0,0,-1.084,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9135,0,,34636,2534267.12,5663115.03,M,xx0987654321,33,1,0.5,1,0,0,-0.899,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9136,0,,34636,2534267.12,5663115.03,M,xx0987654321,34,1,0.5,1,0,0,-0.81,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9137,0,,34636,2534267.12,5663115.03,M,xx0987654321,35,1,0.5,1,0,0,-1.056,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9138,0,,34636,2534267.12,5663115.03,M,xx0987654321,36,1,0.5,1,0,0,-0.778,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9139,0,,34636,2534267.12,5663115.03,M,xx0987654321,37,1,0.5,1,0,0,-1.295,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9140,0,,34636,2534267.12,5663115.03,M,xx0987654321,38,1,0.5,1,0,0,-1.149,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9141,0,,34636,2534267.12,5663115.03,M,xx0987654321,39,1,0.5,1,0,0,-1.045,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9142,0,,34636,2534267.12,5663115.03,M,xx0987654321,40,1,0.5,1,0,0,-1.063,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9143,0,,34636,2534267.12,5663115.03,M,xx0987654321,41,1,0.5,1,0,0,-0.962,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9144,0,,34636,2534267.12,5663115.03,M,xx0987xxxxxx,42,1,0.5,1,0,0,-0.771,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9145,0,,34636,2534267.12,5663115.03,M,xx0987xxxxxx,43,1,0.5,1,0,0,-0.253,WR0894
Point (2534267.12000000011175871 5663115.03000000026077032),9146,0,,34636,2534267.12,5663115.03,M,xx0987xxxxxx,44,0,0.5,1,0,0,0,WR0894
Point (2538011.37000000011175871 5663181.13999999966472387),9149,0,,34807,2538011.37,5663181.14,M,xx0987654321,16,1,0.3,1,0,0,-0.083,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9150,0,,34807,2538011.37,5663181.14,M,xx0987654321,17,1,0.3,1,0,0,-0.217,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9151,0,,34807,2538011.37,5663181.14,M,xx0987654321,18,1,0.3,1,0,0,-0.097,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9152,0,,34807,2538011.37,5663181.14,M,xx0987654321,19,1,0.3,1,0,0,-0.071,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9153,0,,34807,2538011.37,5663181.14,M,xx0987654321,20,1,0.3,1,0,0,-0.083,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9154,0,,34807,2538011.37,5663181.14,M,xx0987654321,21,1,0.3,1,0,0,-0.092,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9155,0,,34807,2538011.37,5663181.14,M,xx0987654321,22,1,0.3,1,0,0,-0.068,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9156,0,,34807,2538011.37,5663181.14,M,xx0987654321,23,1,0.3,1,0,0,-0.058,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9157,0,,34807,2538011.37,5663181.14,M,xx0987654321,24,1,0.3,1,0,0,-0.044,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9158,0,,34807,2538011.37,5663181.14,M,xx0987654321,25,1,0.3,1,0,0,-0.03,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9159,0,,34807,2538011.37,5663181.14,M,xx0987654321,26,1,0.3,1,0,0,-0.024,WR0735
Point (2538011.37000000011175871 5663181.13999999966472387),9160,0,,34807,2538011.37,5663181.14,M,xx0987654321,27,0,0.3,1,0,0,0,WR0735
Point (2538164.62000000011175871 5663245.25999999977648258),9162,0,,34813,2538164.62,5663245.26,M,xx0987654321,16,1,0.3,1,0,0,-0.18,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9163,0,,34813,2538164.62,5663245.26,M,xx0987654321,17,1,0.3,1,0,0,-0.215,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9164,0,,34813,2538164.62,5663245.26,M,xx0987654321,18,1,0.3,1,0,0,-0.169,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9165,0,,34813,2538164.62,5663245.26,M,xx0987654321,19,1,0.3,1,0,0,-0.114,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9166,0,,34813,2538164.62,5663245.26,M,xx0987654321,20,1,0.3,1,0,0,-0.098,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9167,0,,34813,2538164.62,5663245.26,M,xx0987654321,21,1,0.3,1,0,0,-0.119,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9168,0,,34813,2538164.62,5663245.26,M,xx0987654321,22,1,0.3,1,0,0,-0.133,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9169,0,,34813,2538164.62,5663245.26,M,xx0987654321,23,1,0.3,1,0,0,-0.18,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9170,0,,34813,2538164.62,5663245.26,M,xx0987654321,24,1,0.3,1,0,0,-0.145,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9171,0,,34813,2538164.62,5663245.26,M,xx0987654321,25,1,0.3,1,0,0,-0.098,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9172,0,,34813,2538164.62,5663245.26,M,xx0987654321,26,1,0.3,1,0,0,-0.103,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9173,0,,34813,2538164.62,5663245.26,M,xx0987654321,27,1,0.3,1,0,0,-0.002,WR0736
Point (2538164.62000000011175871 5663245.25999999977648258),9174,0,,34813,2538164.62,5663245.26,M,xx0987654321,28,0,0.3,1,0,0,0,WR0736
Point (2538165.18999999994412065 5663029.32000000029802322),9175,0,,34814,2538165.19,5663029.32,M,xx0987654321,15,1,0.3,1,0,0,-0.161,WS1096
Point (2538165.18999999994412065 5663029.32000000029802322),9176,0,,34814,2538165.19,5663029.32,M,xx0987654321,16,1,0.3,1,0,0,-0.185,WS1096
Point (2538165.18999999994412065 5663029.32000000029802322),9177,0,,34814,2538165.19,5663029.32,M,xx0987654321,17,1,0.3,1,0,0,-0.181,WS1096
Point (2538165.18999999994412065 5663029.32000000029802322),9178,0,,34814,2538165.19,5663029.32,M,xx0987654321,18,1,0.3,1,0,0,-0.122,WS1096
Point (2538165.18999999994412065 5663029.32000000029802322),9179,0,,34814,2538165.19,5663029.32,M,xx0987654321,19,1,0.3,1,0,0,-0.148,WS1096
Point (2538165.18999999994412065 5663029.32000000029802322),9180,0,,34814,2538165.19,5663029.32,M,xx0987654321,20,1,0.3,1,0,0,-0.069,WS1096
Point (2538165.18999999994412065 5663029.32000000029802322),9181,0,,34814,2538165.19,5663029.32,M,xx0987654321,21,1,0.3,1,0,0,-0.056,WS1096
Point (2538165.18999999994412065 5663029.32000000029802322),9182,0,,34814,2538165.19,5663029.32,M,xx0987654321,22,1,0.3,1,0,0,-0.049,WS1096
Point (2538165.18999999994412065 5663029.32000000029802322),9183,0,,34814,2538165.19,5663029.32,M,xx0987654321,23,0,0.3,1,0,0,0,WS1096
Point (2538318.22999999998137355 5663092.58999999985098839),9184,0,,34819,2538318.23,5663092.59,M,xx0987654321,15,1,0.3,1,0,0,-0.161,WS1097
Point (2538318.22999999998137355 5663092.58999999985098839),9185,0,,34819,2538318.23,5663092.59,M,xx0987654321,16,1,0.3,1,0,0,-0.169,WS1097
Point (2538318.22999999998137355 5663092.58999999985098839),9186,0,,34819,2538318.23,5663092.59,M,xx0987654321,17,1,0.3,1,0,0,-0.184,WS1097
Point (2538318.22999999998137355 5663092.58999999985098839),9187,0,,34819,2538318.23,5663092.59,M,xx0987654321,18,1,0.3,1,0,0,-0.157,WS1097
Point (2538318.22999999998137355 5663092.58999999985098839),9188,0,,34819,2538318.23,5663092.59,M,xx0987654321,19,1,0.3,1,0,0,-0.1,WS1097
