"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,64.06501,64.06501,2529847.94,5658788.96,"W 5812",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELLL738",10,0,62.2939,62.2939,2529847.94,5658788.96,"W 5812",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELLL738",11,0,56.69708,56.69708,2529847.94,5658788.96,"W 5812",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELLL740",9,0,64.28158,64.28158,2530172.81,5658373.2,"W 5815",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELLL740",10,0,63.44887,63.44887,2530172.81,5658373.2,"W 5815",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELLL740",11,0,59.51882,59.51882,2530172.81,5658373.2,"W 5815",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELLL860",9,0,62.50516,62.50516,2530041.18,5658643.89,"W 5963",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELLL860",10,0,62.19387,62.19387,2530041.18,5658643.89,"W 5963",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELLL860",11,0,57.78828,57.78828,2530041.18,5658643.89,"W 5963",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELLL944",9,0,65.48513,65.48513,2529988.65,5658509.59,"W 6200",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELLL944",10,0,63.44001,63.44001,2529988.65,5658509.59,"W 6200",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELLL944",11,0,58.48832,58.48832,2529988.65,5658509.59,"W 6200",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELLL954",9,0,61.35324,61.35324,2530069.25,5658783.1,"WA5980",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELLL954",10,0,61.68962,61.68962,2530069.25,5658783.1,"WA5980",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELLL954",11,0,57.29069,57.29069,2530069.25,5658783.1,"WA5980",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL998",9,0,69.56146,69.56146,2529756.44,5658357.51,"WA5813",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL998",10,0,65.3008,65.3008,2529756.44,5658357.51,"WA5813",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL998",11,0.06,58.80862,59.15754,2529756.44,5658357.51,"WA5813",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1000",9,0,64.08777,64.08777,2530084.04,5658515.11,"WA5814",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1000",10,0.15,61.79132,62.48904,2530084.04,5658515.11,"WA5814",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1000",11,0.3,55.5986,57.30588,2530084.04,5658515.11,"WA5814",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1002",9,0.2,66.00911,66.91732,2530053.05,5658116.42,"WA5817",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1002",10,0.4,61.29441,63.36382,2530053.05,5658116.42,"WA5817",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1002",11,0.4,55.76391,58.34063,2530053.05,5658116.42,"WA5817",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1076",9,0,69.28826,69.28826,2529582.45,5658758.27,"WA6246",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1076",10,0.1,63.12027,63.56025,2529582.45,5658758.27,"WA6246",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1076",11,0.2,54.64934,55.75045,2529582.45,5658758.27,"WA6246",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1078",9,0,72.39505,72.39505,2529560.26,5658379.33,"WA6248",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1078",10,0,66.31733,66.31733,2529560.26,5658379.33,"WA6248",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1078",11,0.08,58.59275,59.01401,2529560.26,5658379.33,"WA6248",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1080",9,0,75.22738,75.22738,2529388.19,5658371.25,"WA6249",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1080",10,0,67.60128,67.60128,2529388.19,5658371.25,"WA6249",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1080",11,0.08,58.70551,59.12479,2529388.19,5658371.25,"WA6249",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1082",9,0,68.66268,68.66268,2529891.5,5658197.02,"WA6251",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1082",10,0,65.2376,65.2376,2529891.5,5658197.02,"WA6251",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1082",11,0.08,59.18016,59.61625,2529891.5,5658197.02,"WA6251",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1084",9,0,80.169,80.169,2529329.83,5657831.95,"WA6253",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1084",10,0,73.88237,73.88237,2529329.83,5657831.95,"WA6253",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1084",11,0.08,66.85671,67.22922,2529329.83,5657831.95,"WA6253",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1106",9,0,70.52284,70.52284,2529560.42,5658619.19,"WA6292",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1106",10,0.15,63.53144,64.19141,2529560.42,5658619.19,"WA6292",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1106",11,0.3,54.41178,56.13652,2529560.42,5658619.19,"WA6292",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1108",9,0,72.80029,72.80029,2529481.34,5658487.75,"WA6294",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1108",10,0.15,64.85895,65.51893,2529481.34,5658487.75,"WA6294",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1108",11,0.3,55.17752,56.91413,2529481.34,5658487.75,"WA6294",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1110",9,0,76.54562,76.54562,2529262.94,5658401.32,"WA6295",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1110",10,0.18,67.30182,68.07178,2529262.94,5658401.32,"WA6295",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1110",11,0.35,56.68157,58.63969,2529262.94,5658401.32,"WA6295",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
"WELL1112",9,0,75.60582,75.60582,2529474.21,5658109.89,"WA6296",6.67,"Jahr: 2016 (Gesamtfoerderung 6B: 3.5 Millionen m3)"
"WELL1112",10,0,68.82776,68.82776,2529474.21,5658109.89,"WA6296",20.56,"Jahr: 2017 (Gesamtfoerderung 6B: 10.8 Millionen m3)"
"WELL1112",11,0.12,60.61478,61.31785,2529474.21,5658109.89,"WA6296",34.36,"Jahr: 2018 (Gesamtfoerderung 6B: 18.1 Millionen m3)"
