Brkenn,k,X_WERT,Y_WERT,wellid,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut
W 5001,0,2531951.12,5659201.03,welll1,thiem,0,0,0,0,0.5,6,0
W 5001,2,2531951.12,5659201.03,welll2,thiem,0,0,0,0,0.5,6,0
W 5002,0,2531850.15,5659260.59,welll3,thiem,0,0,0,0,0.5,6,0
W 5002,2,2531850.15,5659260.59,welll4,thiem,0,0,0,0,0.5,6,0
W 5003,0,2531934.75,5659440.45,welll5,thiem,0,0,0,0,0.5,6,0
W 5003,2,2531934.75,5659440.45,welll6,thiem,0,0,0,0,0.5,6,0
W 5035,0,2531990.93,5657120.89,welll7,thiem,0,0,0,0,0.5,6,0
W 5035,2,2531990.93,5657120.89,welll8,thiem,0,0,0,0,0.5,6,0
W 5036,0,2531916.01,5657011.17,welll9,thiem,0,0,0,0,0.5,6,0
W 5036,2,2531916.01,5657011.17,welll10,thiem,0,0,0,0,0.5,6,0
W 5037,0,2531851.14,5656910.78,welll11,thiem,0,0,0,0,0.5,6,0
W 5037,2,2531851.14,5656910.78,welll12,thiem,0,0,0,0,0.5,6,0
W 5045,0,2531958.96,5660547.43,welll13,thiem,0,0,0,0,0.5,6,0
W 5045,2,2531958.96,5660547.43,welll14,thiem,0,0,0,0,0.5,6,0
W 5046,0,2531811.78,5660550.25,welll15,thiem,0,0,0,0,0.5,6,0
W 5046,2,2531811.78,5660550.25,welll16,thiem,0,0,0,0,0.5,6,0
W 5049,0,2531712.88,5660735.7,welll17,thiem,0,0,0,0,0.5,6,0
W 5049,2,2531712.88,5660735.7,welll18,thiem,0,0,0,0,0.5,6,0
W 5051,0,2531724.11,5660979.66,welll19,thiem,0,0,0,0,0.5,6,0
W 5051,2,2531724.11,5660979.66,welll20,thiem,0,0,0,0,0.5,6,0
W 5052,0,2531720.38,5661071.2,welll21,thiem,0,0,0,0,0.5,6,0
W 5052,2,2531720.38,5661071.2,welll22,thiem,0,0,0,0,0.5,6,0
W 5053,0,2531730.36,5661171.66,welll23,thiem,0,0,0,0,0.5,6,0
W 5053,2,2531730.36,5661171.66,welll24,thiem,0,0,0,0,0.5,6,0
W 5055,0,2531720.71,5661370.8,welll25,thiem,0,0,0,0,0.5,6,0
W 5055,2,2531720.71,5661370.8,welll26,thiem,0,0,0,0,0.5,6,0
W 5056,0,2531710.95,5661461.02,welll27,thiem,0,0,0,0,0.5,6,0
W 5056,2,2531710.95,5661461.02,welll28,thiem,0,0,0,0,0.5,6,0
W 5057,0,2531772.62,5661747.53,welll29,thiem,0,0,0,0,0.5,6,0
W 5057,2,2531772.62,5661747.53,welll30,thiem,0,0,0,0,0.5,6,0
W 5058,0,2531681.36,5661650.51,welll31,thiem,0,0,0,0,0.5,6,0
W 5058,2,2531681.36,5661650.51,welll32,thiem,0,0,0,0,0.5,6,0
W 5059,0,2531661.28,5661741.03,welll33,thiem,0,0,0,0,0.5,6,0
W 5059,2,2531661.28,5661741.03,welll34,thiem,0,0,0,0,0.5,6,0
W 5060,0,2531660.19,5661800.96,welll35,thiem,0,0,0,0,0.5,6,0
W 5060,2,2531660.19,5661800.96,welll36,thiem,0,0,0,0,0.5,6,0
W 5061,0,2531500.59,5661813.48,welll37,thiem,0,0,0,0,0.5,6,0
W 5061,2,2531500.59,5661813.48,welll38,thiem,0,0,0,0,0.5,6,0
W 5062,0,2531407.91,5661922.49,welll39,thiem,0,0,0,0,0.5,6,0
W 5062,2,2531407.91,5661922.49,welll40,thiem,0,0,0,0,0.5,6,0
W 5063,0,2531500.96,5661970.89,welll41,thiem,0,0,0,0,0.5,6,0
W 5063,2,2531500.96,5661970.89,welll42,thiem,0,0,0,0,0.5,6,0
W 5065,0,2531797,5661867.4,welll43,thiem,0,0,0,0,0.5,6,0
W 5065,2,2531797,5661867.4,welll44,thiem,0,0,0,0,0.5,6,0
W 5066,0,2531674.74,5661853.89,welll45,thiem,0,0,0,0,0.5,6,0
W 5066,2,2531674.74,5661853.89,welll46,thiem,0,0,0,0,0.5,6,0
W 5084,0,2531905.43,5661737.89,welll47,thiem,0,0,0,0,0.5,6,0
W 5084,2,2531905.43,5661737.89,welll48,thiem,0,0,0,0,0.5,6,0
W 5085,0,2531840.24,5661620.64,welll49,thiem,0,0,0,0,0.5,6,0
W 5085,2,2531840.24,5661620.64,welll50,thiem,0,0,0,0,0.5,6,0
W 5088,0,2531980.38,5661411.2,welll51,thiem,0,0,0,0,0.5,6,0
W 5088,2,2531980.38,5661411.2,welll52,thiem,0,0,0,0,0.5,6,0
W 5090,0,2531811.07,5661321.16,welll53,thiem,0,0,0,0,0.5,6,0
W 5090,2,2531811.07,5661321.16,welll54,thiem,0,0,0,0,0.5,6,0
W 5093,0,2531980.55,5661080.36,welll55,thiem,0,0,0,0,0.5,6,0
W 5093,2,2531980.55,5661080.36,welll56,thiem,0,0,0,0,0.5,6,0
W 5094,0,2531951.68,5661180.39,welll57,thiem,0,0,0,0,0.5,6,0
W 5094,2,2531951.68,5661180.39,welll58,thiem,0,0,0,0,0.5,6,0
W 5095,0,2531930.63,5661281.86,welll59,thiem,0,0,0,0,0.5,6,0
W 5095,2,2531930.63,5661281.86,welll60,thiem,0,0,0,0,0.5,6,0
W 5099,0,2531910.46,5660880.5,welll61,thiem,0,0,0,0,0.5,6,0
W 5099,2,2531910.46,5660880.5,welll62,thiem,0,0,0,0,0.5,6,0
W 5100,0,2531820.76,5660840.34,welll63,thiem,0,0,0,0,0.5,6,0
W 5100,2,2531820.76,5660840.34,welll64,thiem,0,0,0,0,0.5,6,0
W 5110,0,2531900.19,5661920.96,welll65,thiem,0,0,0,0,0.5,6,0
W 5110,2,2531900.19,5661920.96,welll66,thiem,0,0,0,0,0.5,6,0
W 5111,0,2531800.96,5661940.89,welll67,thiem,0,0,0,0,0.5,6,0
W 5111,2,2531800.96,5661940.89,welll68,thiem,0,0,0,0,0.5,6,0
W 5112,0,2531701,5661961.1,welll69,thiem,0,0,0,0,0.5,6,0
W 5112,2,2531701,5661961.1,welll70,thiem,0,0,0,0,0.5,6,0
W 5113,0,2531610.16,5661991.17,welll71,thiem,0,0,0,0,0.5,6,0
W 5113,2,2531610.16,5661991.17,welll72,thiem,0,0,0,0,0.5,6,0
W 5114,0,2531931.56,5660770.62,welll73,thiem,0,0,0,0,0.5,6,0
W 5114,2,2531931.56,5660770.62,welll74,thiem,0,0,0,0,0.5,6,0
W 5115,0,2531914.9,5660627.31,welll75,thiem,0,0,0,0,0.5,6,0
W 5115,2,2531914.9,5660627.31,welll76,thiem,0,0,0,0,0.5,6,0
W 5116,0,2531710.18,5660561.03,welll77,thiem,0,0,0,0,0.5,6,0
W 5116,2,2531710.18,5660561.03,welll78,thiem,0,0,0,0,0.5,6,0
W 5117,0,2531837.94,5660381.06,welll79,thiem,0,0,0,0,0.5,6,0
W 5117,2,2531837.94,5660381.06,welll80,thiem,0,0,0,0,0.5,6,0
W 5119,0,2531910.93,5660230.89,welll81,thiem,0,0,0,0,0.5,6,0
W 5119,2,2531910.93,5660230.89,welll82,thiem,0,0,0,0,0.5,6,0
W 5128,0,2531900.71,5659350.8,welll83,thiem,0,0,0,0,0.5,6,0
W 5128,2,2531900.71,5659350.8,welll84,thiem,0,0,0,0,0.5,6,0
W 5130,0,2531950.95,5659910.44,welll85,thiem,0,0,0,0,0.5,6,0
W 5130,2,2531950.95,5659910.44,welll86,thiem,0,0,0,0,0.5,6,0
W 5132,0,2531770.99,5659991.07,welll87,thiem,0,0,0,0,0.5,6,0
W 5132,2,2531770.99,5659991.07,welll88,thiem,0,0,0,0,0.5,6,0
W 5134,0,2531680.69,5659800.75,welll89,thiem,0,0,0,0,0.5,6,0
W 5134,2,2531680.69,5659800.75,welll90,thiem,0,0,0,0,0.5,6,0
W 5135,0,2531430,5659732.02,welll91,thiem,0,0,0,0,0.5,6,0
W 5135,2,2531430,5659732.02,welll92,thiem,0,0,0,0,0.5,6,0
W 5136,0,2531601.27,5659620.5,welll93,thiem,0,0,0,0,0.5,6,0
W 5136,2,2531601.27,5659620.5,welll94,thiem,0,0,0,0,0.5,6,0
