per,wellid,qdes,per,,qdes
10,well901,0,10,well1387,0
10,well902,0,10,well1388,0
10,well903,0,10,well1389,0
10,well904,0,10,well1390,0
10,well905,0,10,well1391,0
10,well906,0,10,well1392,0
10,well907,0,10,well1393,0
10,well908,0,10,well1394,0
10,well909,0,10,well1395,0
10,well910,0,10,well1396,0
10,well911,0,10,well1397,0
10,well912,0,10,well1398,0
10,well913,0,10,well1399,0
10,well914,0,10,well1400,0
10,well915,0,10,well1401,0
10,well916,0,10,well1402,0
10,well917,0,10,well1403,0
10,well918,0,10,well1404,0
10,well919,0,10,well1405,0
10,well920,0,10,well1406,0
10,well921,0,10,well1407,0
10,well922,0,10,well1408,0
10,well923,0,10,well1409,0
10,well924,0,10,well1410,0
10,well925,0,10,well1411,0
10,well926,0,10,well1412,0
10,well927,0,10,well1413,0
10,well928,0,10,well1414,0
10,well929,0,10,well1415,0
10,well930,0,10,well1416,0
10,well931,0,10,well1417,0
10,well932,0,10,well1418,0
10,well933,0,10,well1419,0
10,well934,0,10,well1420,0
10,well935,0,10,well1421,0
10,well936,0,10,well1422,0
10,well937,0,10,well1423,0
10,well938,0,10,well1424,0
10,well939,0,10,well1425,0
10,well940,0,10,well1426,0
10,well941,0,10,well1427,0
10,well942,0,10,well1428,0
10,well943,0,10,well1429,0
10,well944,0,10,well1430,0
10,well945,0,10,well1431,0
10,well946,0,10,well1432,0
10,well947,0,10,well1433,0
10,well948,0,10,well1434,0
10,well949,0,10,well1435,0
10,well950,0,10,well1436,0
10,well951,0,10,well1437,0
10,well952,0,10,well1438,0
10,well953,0,10,well1439,0
10,well954,0,10,well1440,0
10,well955,0,10,well1441,0
10,well956,0,10,well1442,0
10,well957,0,10,well1443,0
10,well958,0,10,well1444,0
10,well959,0,10,well1445,0
10,well960,0,10,well1446,0
10,well961,0,10,well1447,0
10,well962,0,10,well1448,0
10,well963,0,10,well1449,0
10,well964,0,10,well1450,0
10,well965,0,10,well1451,0
10,well966,0,10,well1452,0
10,well967,0,10,well1453,0
10,well968,0,10,well1454,0
10,well969,0,10,well1455,0
10,well970,0,10,well1456,0
10,well971,0,10,well1457,0
10,well972,0,10,well1458,0
10,well973,0,10,well1459,0
10,well974,0,10,well1460,0
10,well975,0,10,well1461,0
10,well976,0,10,well1462,0
10,well977,0,10,well1463,0
10,well978,0,10,well1464,0
10,well979,0,10,well1465,0
10,well980,0,10,well1466,0
10,well981,0,10,well1467,0
10,well982,0,10,well1468,0
10,well983,0,10,well1469,0
10,well984,0,10,well1470,0
10,well985,0,10,well1471,0
10,well986,0,10,well1472,0
10,well987,0,10,well1473,0
10,well988,0,10,well1474,0
10,well989,0,10,well1475,0
10,well990,0,10,well1476,0
10,well991,0,10,well1477,0
10,well992,0,10,well1478,0
10,well993,0,10,well1479,0
10,well994,0,10,well1480,0
10,well995,0,10,well1481,0
10,well996,0,10,well1482,0
10,well997,0,10,well1483,0
10,well998,0,10,well1484,0
10,well999,0,10,well1485,0
11,well1000,0,11,well1486,0
11,well1001,0,11,well1487,0
11,well1002,0,11,well1488,0
11,well1003,0,11,well1489,0
11,well1004,0,11,well1490,0
11,well1005,0,11,well1491,0
11,well1006,0,11,well1492,0
11,well1007,0,11,well1493,0
11,well1008,0,11,well1494,0
11,well1009,0,11,well1495,0
11,well1010,0,11,well1496,0
11,well487,0,11,well973,0
11,well488,0,11,well974,0
11,well489,0,11,well975,0
11,well490,0,11,well976,0
11,well491,-1.8,11,well977,-2592
11,well492,-1,11,well978,-1440
11,well493,-1,11,well979,-1440
11,well494,0,11,well980,0
11,well495,0,11,well981,0
11,well496,0,11,well982,0
11,well497,0,11,well983,0
11,well498,0,11,well984,0
11,well499,-0.3,11,well985,-432
11,well500,-1.1,11,well986,-1584
11,well501,0,11,well987,0
11,well502,0,11,well988,0
11,well503,0,11,well989,0
11,well504,-0.8,11,well990,-1152
11,well505,0,11,well991,0
11,well506,0,11,well992,0
11,well507,0,11,well993,0
11,well508,0,11,well994,0
11,well509,-0.9,11,well995,-1296
11,well510,0,11,well996,0
11,well511,-0.125,11,well997,-180
11,well512,-0.125,11,well998,-180
11,well513,-0.125,11,well999,-180
11,well514,-0.125,11,well1000,-180
11,well515,0,11,well1001,0
11,well516,0,11,well1002,0
11,well517,0,11,well1003,0
11,well518,-0.125,11,well1004,-180
11,well519,0,11,well1005,0
11,well520,0,11,well1006,0
11,well521,0,11,well1007,0
11,well522,0,11,well1008,0
11,well523,0,11,well1009,0
11,well524,-0.7,11,well1010,-1008
11,well525,0,11,well1011,0
11,well526,0,11,well1012,0
11,well527,0,11,well1013,0
11,well528,0,11,well1014,0
11,well529,0,11,well1015,0
11,well530,0,11,well1016,0
11,well531,0,11,well1017,0
11,well532,0,11,well1018,0
11,well533,0,11,well1019,0
11,well534,0,11,well1020,0
11,well535,-1,11,well1021,-1440
11,well536,0,11,well1022,0
11,well537,0,11,well1023,0
11,well538,0,11,well1024,0
11,well539,0,11,well1025,0
11,well540,-0.25,11,well1026,-360
11,well541,0,11,well1027,0
11,well542,0,11,well1028,0
11,well543,0,11,well1029,0
11,well544,0,11,well1030,0
11,well545,0,11,well1031,0
11,well546,0,11,well1032,0
11,well547,0,11,well1033,0
11,well548,0,11,well1034,0
11,well549,0,11,well1035,0
11,well550,0,11,well1036,0
11,well551,0,11,well1037,0
11,well552,0,11,well1038,0
11,well553,0,11,well1039,0
11,well554,0,11,well1040,0
11,well555,0,11,well1041,0
11,well556,0,11,well1042,0
11,well557,0,11,well1043,0
11,well558,0,11,well1044,0
11,well559,0,11,well1045,0
11,well560,0,11,well1046,0
11,well561,0,11,well1047,0
11,well562,0,11,well1048,0
11,well563,0,11,well1049,0
11,well564,0,11,well1050,0
11,well565,0,11,well1051,0
11,well566,0,11,well1052,0
11,well567,0,11,well1053,0
11,well568,0,11,well1054,0
11,well569,0,11,well1055,0
11,well570,0,11,well1056,0
11,well571,0,11,well1057,0
11,well572,0,11,well1058,0
11,well573,0,11,well1059,0
11,well574,0,11,well1060,0
11,well575,0,11,well1061,0
11,well576,0,11,well1062,0
11,well577,0,11,well1063,0
11,well578,0,11,well1064,0
11,well579,0,11,well1065,0
11,well580,0,11,well1066,0
11,well581,0,11,well1067,0
11,well582,0,11,well1068,0
11,well583,0,11,well1069,0
11,well584,-0.8,11,well1070,-1152
11,well585,0,11,well1071,0
11,well586,0,11,well1072,0
11,well587,0,11,well1073,0
11,well588,0,11,well1074,0
11,well589,0,11,well1075,0
11,well590,0,11,well1076,0
11,well591,-0.9,11,well1077,-1296
11,well592,-0.4,11,well1078,-576
11,well593,-2.5,11,well1079,-3600
11,well594,-0.8,11,well1080,-1152
11,well595,-0.125,11,well1081,-180
11,well596,-0.6,11,well1082,-864
11,well597,-0.25,11,well1083,-360
11,well598,-0.8,11,well1084,-1152
11,well599,-0.4,11,well1085,-576
11,well600,-0.3,11,well1086,-432
11,well601,-0.4,11,well1087,-576
11,well602,-0.6,11,well1088,-864
11,well603,-0.6,11,well1089,-864
11,well604,-0.4,11,well1090,-576
11,well605,-1.4,11,well1091,-2016
11,well606,-0.7,11,well1092,-1008
11,well607,0,11,well1093,0
11,well608,-1.4,11,well1094,-2016
11,well609,-2.5,11,well1095,-3600
11,well610,-1.4,11,well1096,-2016
11,well611,-0.6,11,well1097,-864
11,well612,-1.4,11,well1098,-2016
11,well613,-0.55,11,well1099,-792
11,well614,-1.8,11,well1100,-2592
11,well615,-2.2,11,well1101,-3168
11,well616,-0.6,11,well1102,-864
11,well617,-0.7,11,well1103,-1008
11,well618,-0.6,11,well1104,-864
11,well619,-0.3,11,well1105,-432
11,well620,-0.3,11,well1106,-432
11,well621,-0.3,11,well1107,-432
11,well622,-0.3,11,well1108,-432
11,well623,-1.4,11,well1109,-2016
11,well624,-1,11,well1110,-1440
11,well625,-0.6,11,well1111,-864
11,well626,-0.5,11,well1112,-720
11,well627,-0.5,11,well1113,-720
11,well628,-0.4,11,well1114,-576
11,well629,-0.4,11,well1115,-576
11,well630,-0.4,11,well1116,-576
11,well631,-0.3,11,well1117,-432
11,well632,-0.3,11,well1118,-432
11,well633,-0.35,11,well1119,-504
11,well634,-1.6,11,well1120,-2304
11,well635,-1,11,well1121,-1440
11,well636,-0.5,11,well1122,-720
11,well637,-0.7,11,well1123,-1008
11,well638,-0.3,11,well1124,-432
11,well639,-0.7,11,well1125,-1008
11,well640,-0.4,11,well1126,-576
11,well641,-0.3,11,well1127,-432
11,well642,-0.4,11,well1128,-576
11,well643,-0.4,11,well1129,-576
11,well644,-0.6,11,well1130,-864
11,well645,-0.4,11,well1131,-576
11,well646,-0.6,11,well1132,-864
11,well647,-0.3,11,well1133,-432
11,well648,-0.3,11,well1134,-432
11,well649,-0.2,11,well1135,-288
11,well650,0,11,well1136,0
11,well651,-0.5,11,well1137,-720
11,well652,-1.3,11,well1138,-1872
11,well653,-0.25,11,well1139,-360
11,well654,-0.5,11,well1140,-720
11,well655,-0.3,11,well1141,-432
11,well656,-0.3,11,well1142,-432
11,well657,-0.8,11,well1143,-1152
11,well658,-0.5,11,well1144,-720
11,well659,-0.7,11,well1145,-1008
11,well660,-1.1,11,well1146,-1584
11,well661,-0.4,11,well1147,-576
11,well662,-1,11,well1148,-1440
11,well663,-0.15,11,well1149,-216
11,well664,-0.15,11,well1150,-216
11,well665,-0.15,11,well1151,-216
11,well666,-0.15,11,well1152,-216
11,well667,-0.15,11,well1153,-216
11,well668,-0.4,11,well1154,-576
11,well669,-0.15,11,well1155,-216
11,well670,-0.15,11,well1156,-216
11,well671,-0.15,11,well1157,-216
11,well672,-1.1,11,well1158,-1584
11,well673,-0.15,11,well1159,-216
11,well674,-0.1,11,well1160,-144
11,well675,-0.6,11,well1161,-864
11,well676,-0.9,11,well1162,-1296
11,well677,-2.2,11,well1163,-3168
11,well678,-1,11,well1164,-1440
11,well679,-1.8,11,well1165,-2592
11,well680,-1.4,11,well1166,-2016
11,well681,-2,11,well1167,-2880
11,well682,-0.7,11,well1168,-1008
11,well683,-0.7,11,well1169,-1008
11,well684,-0.3,11,well1170,-432
11,well685,-0.8,11,well1171,-1152
11,well686,-0.9,11,well1172,-1296
11,well687,-1,11,well1173,-1440
11,well688,-0.45,11,well1174,-648
11,well689,-1.1,11,well1175,-1584
11,well690,-0.6,11,well1176,-864
11,well691,-0.3,11,well1177,-432
11,well692,-0.6,11,well1178,-864
11,well693,-0.7,11,well1179,-1008
11,well694,-0.25,11,well1180,-360
11,well695,-1,11,well1181,-1440
11,well696,-0.6,11,well1182,-864
11,well697,-1.1,11,well1183,-1584
11,well698,-0.6,11,well1184,-864
11,well699,-0.4,11,well1185,-576
11,well700,-0.8,11,well1186,-1152
11,well701,-0.4,11,well1187,-576
11,well702,-0.2,11,well1188,-288
11,well703,-0.3,11,well1189,-432
11,well704,-0.2,11,well1190,-288
11,well705,-1.6,11,well1191,-2304
11,well706,-0.3,11,well1192,-432
11,well707,-0.4,11,well1193,-576
11,well708,-1,11,well1194,-1440
11,well709,-0.4,11,well1195,-576
11,well710,-1.4,11,well1196,-2016
11,well711,-0.35,11,well1197,-504
11,well712,-0.8,11,well1198,-1152
11,well713,-0.3,11,well1199,-432
11,well714,0,11,well1200,0
11,well715,-0.25,11,well1201,-360
11,well716,-0.4,11,well1202,-576
11,well717,-1,11,well1203,-1440
11,well718,-1,11,well1204,-1440
11,well719,-0.4,11,well1205,-576
11,well720,-0.6,11,well1206,-864
11,well721,-0.6,11,well1207,-864
11,well722,-0.15,11,well1208,-216
11,well723,-0.5,11,well1209,-720
11,well724,0,11,well1210,0
11,well725,-1.1,11,well1211,-1584
11,well726,-1.2,11,well1212,-1728
11,well727,0,11,well1213,0
11,well728,-0.6,11,well1214,-864
11,well729,-1.4,11,well1215,-2016
11,well730,-1.2,11,well1216,-1728
11,well731,-0.5,11,well1217,-720
11,well732,-0.15,11,well1218,-216
11,well733,-0.15,11,well1219,-216
11,well734,-0.15,11,well1220,-216
11,well735,-1.1,11,well1221,-1584
11,well736,-0.5,11,well1222,-720
11,well737,-1.2,11,well1223,-1728
11,well738,-1.2,11,well1224,-1728
11,well739,0,11,well1225,0
11,well740,-0.4,11,well1226,-576
11,well741,-0.25,11,well1227,-360
11,well742,-0.5,11,well1228,-720
11,well743,-1.2,11,well1229,-1728
11,well744,-0.3,11,well1230,-432
11,well745,-0.3,11,well1231,-432
11,well746,0,11,well1232,0
11,well747,-0.3,11,well1233,-432
11,well748,-0.1,11,well1234,-144
11,well749,0,11,well1235,0
11,well750,0,11,well1236,0
11,well751,0,11,well1237,0
11,well752,0,11,well1238,0
11,well753,0,11,well1239,0
11,well754,0,11,well1240,0
11,well755,0,11,well1241,0
11,well756,0,11,well1242,0
11,well757,0,11,well1243,0
11,well758,0,11,well1244,0
11,well759,0,11,well1245,0
11,well760,0,11,well1246,0
11,well761,0,11,well1247,0
11,well762,0,11,well1248,0
11,well763,0,11,well1249,0
11,well764,0,11,well1250,0
11,well765,0,11,well1251,0
11,well766,0,11,well1252,0
11,well767,0,11,well1253,0
11,well768,0,11,well1254,0
11,well769,0,11,well1255,0
11,well770,0,11,well1256,0
11,well771,0,11,well1257,0
11,well772,0,11,well1258,0
11,well773,0,11,well1259,0
11,well774,0,11,well1260,0
11,well775,0,11,well1261,0
11,well776,0,11,well1262,0
11,well777,0,11,well1263,0
11,well778,0,11,well1264,0
11,well779,0,11,well1265,0
11,well780,0,11,well1266,0
11,well781,0,11,well1267,0
11,well782,0,11,well1268,0
11,well783,0,11,well1269,0
11,well784,0,11,well1270,0
11,well785,0,11,well1271,0
11,well786,0,11,well1272,0
11,well787,0,11,well1273,0
11,well788,0,11,well1274,0
11,well789,0,11,well1275,0
11,well790,0,11,well1276,0
11,well791,0,11,well1277,0
11,well792,0,11,well1278,0
11,well793,0,11,well1279,0
11,well794,0,11,well1280,0
11,well795,0,11,well1281,0
11,well796,0,11,well1282,0
11,well797,0,11,well1283,0
11,well798,0,11,well1284,0
11,well799,0,11,well1285,0
11,well800,0,11,well1286,0
11,well801,0,11,well1287,0
11,well802,0,11,well1288,0
11,well803,0,11,well1289,0
