Brkenn,X_WERT,Y_WERT,wellid,y,x,k,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut
W 5001,2531951.12,5659201.03,well1,2985.84,3760.19,2,thiem,0,0,0,0,0.5,6,0
W 5002,2531850.15,5659260.59,well2,2926.28,3659.22,2,thiem,0,0,0,0,0.5,6,0
W 5003,2531934.75,5659440.45,well3,2746.42,3743.82,2,thiem,0,0,0,0,0.5,6,0
W 5035,2531990.93,5657120.89,well4,5065.98,3800,2,thiem,0,0,0,0,0.5,6,0
W 5036,2531916.01,5657011.17,well5,5175.7,3725.08,2,thiem,0,0,0,0,0.5,6,0
W 5037,2531851.14,5656910.78,well6,5276.09,3660.21,2,thiem,0,0,0,0,0.5,6,0
W 5045,2531958.96,5660547.43,well7,1639.44,3768.03,2,thiem,0,0,0,0,0.5,6,0
W 5046,2531811.78,5660550.25,well8,1636.62,3620.85,2,thiem,0,0,0,0,0.5,6,0
W 5049,2531712.88,5660735.7,well9,1451.17,3521.95,2,thiem,0,0,0,0,0.5,6,0
W 5051,2531724.11,5660979.66,well10,1207.21,3533.18,2,thiem,0,0,0,0,0.5,6,0
W 5052,2531720.38,5661071.2,well11,1115.67,3529.45,2,thiem,0,0,0,0,0.5,6,0
W 5053,2531730.36,5661171.66,well12,1015.21,3539.43,2,thiem,0,0,0,0,0.5,6,0
W 5055,2531720.71,5661370.8,well13,816.07,3529.78,2,thiem,0,0,0,0,0.5,6,0
W 5056,2531710.95,5661461.02,well14,725.85,3520.02,2,thiem,0,0,0,0,0.5,6,0
W 5057,2531772.62,5661747.53,well15,439.34,3581.69,2,thiem,0,0,0,0,0.5,6,0
W 5058,2531681.36,5661650.51,well16,536.36,3490.43,2,thiem,0,0,0,0,0.5,6,0
W 5059,2531661.28,5661741.03,well17,445.84,3470.35,2,thiem,0,0,0,0,0.5,6,0
W 5060,2531660.19,5661800.96,well18,385.91,3469.26,2,thiem,0,0,0,0,0.5,6,0
W 5061,2531500.59,5661813.48,well19,373.39,3309.66,2,thiem,0,0,0,0,0.5,6,0
W 5062,2531407.91,5661922.49,well20,264.38,3216.98,2,thiem,0,0,0,0,0.5,6,0
W 5063,2531500.96,5661970.89,well21,215.98,3310.03,2,thiem,0,0,0,0,0.5,6,0
W 5065,2531797,5661867.4,well22,319.47,3606.07,2,thiem,0,0,0,0,0.5,6,0
W 5066,2531674.74,5661853.89,well23,332.98,3483.81,2,thiem,0,0,0,0,0.5,6,0
W 5084,2531905.43,5661737.89,well24,448.98,3714.5,2,thiem,0,0,0,0,0.5,6,0
W 5085,2531840.24,5661620.64,well25,566.23,3649.31,2,thiem,0,0,0,0,0.5,6,0
