"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,63.6897,63.6897,2529847.94,5658788.96,"W 5812",8.63,"Jahr: 2016 (Gesamtfoerderung 6B: 4.5 Millionen m3)"
"WELLL738",10,0,58.89978,58.89978,2529847.94,5658788.96,"W 5812",28.08,"Jahr: 2017 (Gesamtfoerderung 6B: 14.8 Millionen m3)"
"WELLL738",11,0,50.29521,50.29521,2529847.94,5658788.96,"W 5812",47.63,"Jahr: 2018 (Gesamtfoerderung 6B: 25.0 Millionen m3)"
"WELLL740",9,0,64.18285,64.18285,2530172.81,5658373.2,"W 5815",8.63,"Jahr: 2016 (Gesamtfoerderung 6B: 4.5 Millionen m3)"
"WELLL740",10,0,60.91088,60.91088,2530172.81,5658373.2,"W 5815",28.08,"Jahr: 2017 (Gesamtfoerderung 6B: 14.8 Millionen m3)"
"WELLL740",11,0,52.85454,52.85454,2530172.81,5658373.2,"W 5815",47.63,"Jahr: 2018 (Gesamtfoerderung 6B: 25.0 Millionen m3)"
"WELLL860",9,0,62.41279,62.41279,2530041.18,5658643.89,"W 5963",8.63,"Jahr: 2016 (Gesamtfoerderung 6B: 4.5 Millionen m3)"
"WELLL860",10,0,59.54633,59.54633,2530041.18,5658643.89,"W 5963",28.08,"Jahr: 2017 (Gesamtfoerderung 6B: 14.8 Millionen m3)"
"WELLL860",11,0,51.78201,51.78201,2530041.18,5658643.89,"W 5963",47.63,"Jahr: 2018 (Gesamtfoerderung 6B: 25.0 Millionen m3)"
"WELLL944",9,0,65.23642,65.23642,2529988.65,5658509.59,"W 6200",8.63,"Jahr: 2016 (Gesamtfoerderung 6B: 4.5 Millionen m3)"
"WELLL944",10,0,60.59807,60.59807,2529988.65,5658509.59,"W 6200",28.08,"Jahr: 2017 (Gesamtfoerderung 6B: 14.8 Millionen m3)"
"WELLL944",11,0,51.51845,51.51845,2529988.65,5658509.59,"W 6200",47.63,"Jahr: 2018 (Gesamtfoerderung 6B: 25.0 Millionen m3)"
"WELLL954",9,0,61.27189,61.27189,2530069.25,5658783.1,"WA5980",8.63,"Jahr: 2016 (Gesamtfoerderung 6B: 4.5 Millionen m3)"
"WELLL954",10,0,58.96798,58.96798,2530069.25,5658783.1,"WA5980",28.08,"Jahr: 2017 (Gesamtfoerderung 6B: 14.8 Millionen m3)"
"WELLL954",11,0,51.66721,51.66721,2530069.25,5658783.1,"WA5980",47.63,"Jahr: 2018 (Gesamtfoerderung 6B: 25.0 Millionen m3)"
"WELL1010",9,0,69.07187,69.07187,2529756.44,5658357.51,"WA5813",8.63,"Jahr: 2016 (Gesamtfoerderung 6B: 4.5 Millionen m3)"
"WELL1010",10,0,62.53135,62.53135,2529756.44,5658357.51,"WA5813",28.08,"Jahr: 2017 (Gesamtfoerderung 6B: 14.8 Millionen m3)"
"WELL1010",11,0.06,52.24206,52.72148,2529756.44,5658357.51,"WA5813",47.63,"Jahr: 2018 (Gesamtfoerderung 6B: 25.0 Millionen m3)"
"WELL1012",9,0,63.95819,63.95819,2530084.04,5658515.11,"WA5814",8.63,"Jahr: 2016 (Gesamtfoerderung 6B: 4.5 Millionen m3)"
"WELL1012",10,0.15,59.10825,59.87671,2530084.04,5658515.11,"WA5814",28.08,"Jahr: 2017 (Gesamtfoerderung 6B: 14.8 Millionen m3)"
"WELL1012",11,0.3,48.05089,50.47143,2530084.04,5658515.11,"WA5814",47.63,"Jahr: 2018 (Gesamtfoerderung 6B: 25.0 Millionen m3)"
